dataset	regime	depth	policy_code	family	utility
gse162632	original8	4	S	NC	-0.41777259537831896
gse162632	original8	4	S	CM	-0.3578176134555455
gse162632	original8	4	S	TW	-0.3562332346686726
gse162632	original8	4	S	PCA	-0.3563624109805002
gse162632	original8	4	S	RBF	-0.35656428980591354
gse162632	original8	4	S	scGen	-0.13517933978928104
gse162632	original8	4	S	CPA	-0.41107701770386235
gse162632	original8	4	S	CellOT	-0.1421532788554464
gse162632	original8	4	M	NC	-0.4177725953783189
gse162632	original8	4	M	CM	-0.3578176134555455
gse162632	original8	4	M	TW	-0.3562332346686727
gse162632	original8	4	M	PCA	-0.3563624109805002
gse162632	original8	4	M	RBF	-0.3565642898059135
gse162632	original8	4	M	scGen	-0.13517933978933735
gse162632	original8	4	M	CPA	-0.411077017707176
gse162632	original8	4	M	CellOT	-0.14215327885394619
gse162632	original8	4	P	NC	-0.4177725953783189
gse162632	original8	4	P	CM	-0.3578176134555455
gse162632	original8	4	P	TW	-0.3562332346686727
gse162632	original8	4	P	PCA	-0.3563624109805002
gse162632	original8	4	P	RBF	-0.3565642898059135
gse162632	original8	4	P	scGen	-0.6144656462058635
gse162632	original8	4	P	CPA	-0.8864542804424828
gse162632	original8	4	P	CellOT	-0.6254456282218768
gse162632	original8	4	O	NC	-0.4177725953783189
gse162632	original8	4	O	CM	-0.3578176134555455
gse162632	original8	4	O	TW	-0.3562332346686727
gse162632	original8	4	O	PCA	-0.35636241098050014
gse162632	original8	4	O	RBF	-0.3565642898059135
gse162632	original8	4	O	scGen	-0.5912213771466359
gse162632	original8	4	O	CPA	-0.8710280987186126
gse162632	original8	4	O	CellOT	-0.5941892732607038
gse162632	original8	4	D	NC	-0.4177725953783189
gse162632	original8	4	D	CM	-0.3578176134555455
gse162632	original8	4	D	TW	-0.3562332346686727
gse162632	original8	4	D	PCA	-0.3563624109805002
gse162632	original8	4	D	RBF	-0.3565642898059135
gse162632	original8	4	D	scGen	-0.6028435116773616
gse162632	original8	4	D	CPA	-0.8787411895824737
gse162632	original8	4	D	CellOT	-0.6098174507414759
gse162632	original8	6	S	NC	-0.3398228156843802
gse162632	original8	6	S	CM	-0.2798718471172808
gse162632	original8	6	S	TW	-0.2782892430918773
gse162632	original8	6	S	PCA	-0.27841628641544286
gse162632	original8	6	S	RBF	-0.27861952405360446
gse162632	original8	6	S	scGen	-0.1328189436541493
gse162632	original8	6	S	CPA	-0.4080144648423516
gse162632	original8	6	S	CellOT	-0.13868299937881995
gse162632	original8	6	M	NC	-0.3398228156843802
gse162632	original8	6	M	CM	-0.27987184711728075
gse162632	original8	6	M	TW	-0.27828924309187725
gse162632	original8	6	M	PCA	-0.27841628641544286
gse162632	original8	6	M	RBF	-0.27861952405360446
gse162632	original8	6	M	scGen	-0.13281894365631508
gse162632	original8	6	M	CPA	-0.40801446484550163
gse162632	original8	6	M	CellOT	-0.13868299938110956
gse162632	original8	6	P	NC	-0.3398228156843802
gse162632	original8	6	P	CM	-0.27987184711728075
gse162632	original8	6	P	TW	-0.27828924309187725
gse162632	original8	6	P	PCA	-0.27841628641544286
gse162632	original8	6	P	RBF	-0.27861952405360446
gse162632	original8	6	P	scGen	-0.45225597403063716
gse162632	original8	6	P	CPA	-0.7248487253466112
gse162632	original8	6	P	CellOT	-0.46079747987591435
gse162632	original8	6	O	NC	-0.3398228156843802
gse162632	original8	6	O	CM	-0.27987184711728075
gse162632	original8	6	O	TW	-0.27828924309187725
gse162632	original8	6	O	PCA	-0.27841628641544286
gse162632	original8	6	O	RBF	-0.27861952405360446
gse162632	original8	6	O	scGen	-0.4368429442369395
gse162632	original8	6	O	CPA	-0.7146412353241851
gse162632	original8	6	O	CellOT	-0.4400295498412132
gse162632	original8	6	D	NC	-0.3398228156843802
gse162632	original8	6	D	CM	-0.27987184711728075
gse162632	original8	6	D	TW	-0.27828924309187725
gse162632	original8	6	D	PCA	-0.27841628641544286
gse162632	original8	6	D	RBF	-0.27861952405360446
gse162632	original8	6	D	scGen	-0.44454945913397353
gse162632	original8	6	D	CPA	-0.7197449803375551
gse162632	original8	6	D	CellOT	-0.4504135148602296
gse162632	original8	8	S	NC	-0.30087629623050133
gse162632	original8	8	S	CM	-0.2409216976488369
gse162632	original8	8	S	TW	-0.23934065533389823
gse162632	original8	8	S	PCA	-0.23946557208130068
gse162632	original8	8	S	RBF	-0.23967029669384507
gse162632	original8	8	S	scGen	-0.13165311666033355
gse162632	original8	8	S	CPA	-0.40653439528219565
gse162632	original8	8	S	CellOT	-0.13695759364914087
gse162632	original8	8	M	NC	-0.30087629623050133
gse162632	original8	8	M	CM	-0.2409216976488369
gse162632	original8	8	M	TW	-0.23934065533389823
gse162632	original8	8	M	PCA	-0.23946557208130068
gse162632	original8	8	M	RBF	-0.23967029669384507
gse162632	original8	8	M	scGen	-0.13165311666034854
gse162632	original8	8	M	CPA	-0.4065343952851447
gse162632	original8	8	M	CellOT	-0.13695759365022683
gse162632	original8	8	P	NC	-0.30087629623050133
gse162632	original8	8	P	CM	-0.2409216976488369
gse162632	original8	8	P	TW	-0.23934065533389823
gse162632	original8	8	P	PCA	-0.23946557208130068
gse162632	original8	8	P	RBF	-0.23967029669384507
gse162632	original8	8	P	scGen	-0.37129372287368106
gse162632	original8	8	P	CPA	-0.644214705421897
gse162632	original8	8	P	CellOT	-0.37860777266109374
gse162632	original8	8	O	NC	-0.30087629623050133
gse162632	original8	8	O	CM	-0.24092169764883686
gse162632	original8	8	O	TW	-0.23934065533389823
gse162632	original8	8	O	PCA	-0.23946557208130068
gse162632	original8	8	O	RBF	-0.23967029669384507
gse162632	original8	8	O	scGen	-0.35968425951794303
gse162632	original8	8	O	CPA	-0.6365258342002217
gse162632	original8	8	O	CellOT	-0.3629791637032568
gse162632	original8	8	D	NC	-0.30087629623050133
gse162632	original8	8	D	CM	-0.2409216976488369
gse162632	original8	8	D	TW	-0.23934065533389823
gse162632	original8	8	D	PCA	-0.23946557208130068
gse162632	original8	8	D	RBF	-0.23967029669384507
gse162632	original8	8	D	scGen	-0.3654889911961965
gse162632	original8	8	D	CPA	-0.6403702698115503
gse162632	original8	8	D	CellOT	-0.37079346818300435
gse162632	cap48	4	S	NC	-0.41777259537831896
gse162632	cap48	4	S	CM	-0.35368510848308055
gse162632	cap48	4	S	TW	-0.35352970136606615
gse162632	cap48	4	S	PCA	-0.35333548439557116
gse162632	cap48	4	S	RBF	-0.35336226202623083
gse162632	cap48	4	S	scGen	-0.13278423671596215
gse162632	cap48	4	S	CPA	-0.3971368469033743
gse162632	cap48	4	S	CellOT	-0.1419778094047953
gse162632	cap48	4	M	NC	-0.4177725953783189
gse162632	cap48	4	M	CM	-0.35368510848308055
gse162632	cap48	4	M	TW	-0.35352970136606615
gse162632	cap48	4	M	PCA	-0.35333548439557116
gse162632	cap48	4	M	RBF	-0.3533622620262309
gse162632	cap48	4	M	scGen	-0.13278423671393794
gse162632	cap48	4	M	CPA	-0.39713684690668294
gse162632	cap48	4	M	CellOT	-0.14197780940305088
gse162632	cap48	4	P	NC	-0.4177725953783189
gse162632	cap48	4	P	CM	-0.35368510848308055
gse162632	cap48	4	P	TW	-0.35352970136606615
gse162632	cap48	4	P	PCA	-0.35333548439557116
gse162632	cap48	4	P	RBF	-0.3533622620262309
gse162632	cap48	4	P	scGen	-0.6217788821502256
gse162632	cap48	4	P	CPA	-0.8785931192396137
gse162632	cap48	4	P	CellOT	-0.6338492508954376
gse162632	cap48	4	O	NC	-0.4177725953783189
gse162632	cap48	4	O	CM	-0.35368510848308055
gse162632	cap48	4	O	TW	-0.35352970136606615
gse162632	cap48	4	O	PCA	-0.35333548439557116
gse162632	cap48	4	O	RBF	-0.3533622620262309
gse162632	cap48	4	O	scGen	-0.5791179350538236
gse162632	cap48	4	O	CPA	-0.8510089183243155
gse162632	cap48	4	O	CellOT	-0.5854347116848686
gse162632	cap48	4	D	NC	-0.4177725953783189
gse162632	cap48	4	D	CM	-0.35368510848308055
gse162632	cap48	4	D	TW	-0.35352970136606615
gse162632	cap48	4	D	PCA	-0.35333548439557116
gse162632	cap48	4	D	RBF	-0.3533622620262309
gse162632	cap48	4	D	scGen	-0.6004484086013382
gse162632	cap48	4	D	CPA	-0.8648010187840797
gse162632	cap48	4	D	CellOT	-0.6096419812906246
gse162632	cap48	6	S	NC	-0.3398228156843802
gse162632	cap48	6	S	CM	-0.27573456706204375
gse162632	cap48	6	S	TW	-0.2755794803254092
gse162632	cap48	6	S	PCA	-0.27538557273798886
gse162632	cap48	6	S	RBF	-0.2754120964342192
gse162632	cap48	6	S	scGen	-0.12893121411663855
gse162632	cap48	6	S	CPA	-0.39287819560416987
gse162632	cap48	6	S	CellOT	-0.13685272363936515
gse162632	cap48	6	M	NC	-0.3398228156843802
gse162632	cap48	6	M	CM	-0.27573456706204375
gse162632	cap48	6	M	TW	-0.2755794803254092
gse162632	cap48	6	M	PCA	-0.27538557273798886
gse162632	cap48	6	M	RBF	-0.2754120964342192
gse162632	cap48	6	M	scGen	-0.12893121411781625
gse162632	cap48	6	M	CPA	-0.3928781956118759
gse162632	cap48	6	M	CellOT	-0.13685272364142487
gse162632	cap48	6	P	NC	-0.3398228156843802
gse162632	cap48	6	P	CM	-0.27573456706204375
gse162632	cap48	6	P	TW	-0.2755794803254092
gse162632	cap48	6	P	PCA	-0.27538557273798886
gse162632	cap48	6	P	RBF	-0.2754120964342192
gse162632	cap48	6	P	scGen	-0.45485088982959215
gse162632	cap48	6	P	CPA	-0.7137610941166169
gse162632	cap48	6	P	CellOT	-0.4646857507014783
gse162632	cap48	6	O	NC	-0.3398228156843802
gse162632	cap48	6	O	CM	-0.27573456706204375
gse162632	cap48	6	O	TW	-0.2755794803254092
gse162632	cap48	6	O	PCA	-0.27538557273798886
gse162632	cap48	6	O	RBF	-0.2754120964342192
gse162632	cap48	6	O	scGen	-0.42647256936122324
gse162632	cap48	6	O	CPA	-0.6954563280776128
gse162632	cap48	6	O	CellOT	-0.43248072753645933
gse162632	cap48	6	D	NC	-0.3398228156843802
gse162632	cap48	6	D	CM	-0.27573456706204375
gse162632	cap48	6	D	TW	-0.2755794803254092
gse162632	cap48	6	D	PCA	-0.27538557273798886
gse162632	cap48	6	D	RBF	-0.2754120964342192
gse162632	cap48	6	D	scGen	-0.44066172959718414
gse162632	cap48	6	D	CPA	-0.7046087111005832
gse162632	cap48	6	D	CellOT	-0.4485832391198034
gse162632	cap48	8	S	NC	-0.30087629623050133
gse162632	cap48	8	S	CM	-0.2367826960313567
gse162632	cap48	8	S	TW	-0.2366278415336044
gse162632	cap48	8	S	PCA	-0.23643349450105297
gse162632	cap48	8	S	RBF	-0.2364605458977393
gse162632	cap48	8	S	scGen	-0.12702096218000092
gse162632	cap48	8	S	CPA	-0.3908212613565867
gse162632	cap48	8	S	CellOT	-0.13430931301264337
gse162632	cap48	8	M	NC	-0.30087629623050133
gse162632	cap48	8	M	CM	-0.2367826960313567
gse162632	cap48	8	M	TW	-0.2366278415336044
gse162632	cap48	8	M	PCA	-0.23643349450105292
gse162632	cap48	8	M	RBF	-0.2364605458977393
gse162632	cap48	8	M	scGen	-0.12702096218097866
gse162632	cap48	8	M	CPA	-0.39082126135978246
gse162632	cap48	8	M	CellOT	-0.13430931301289004
gse162632	cap48	8	P	NC	-0.30087629623050133
gse162632	cap48	8	P	CM	-0.2367826960313567
gse162632	cap48	8	P	TW	-0.2366278415336044
gse162632	cap48	8	P	PCA	-0.23643349450105292
gse162632	cap48	8	P	RBF	-0.2364605458977393
gse162632	cap48	8	P	scGen	-0.3715219861493624
gse162632	cap48	8	P	CPA	-0.6315360821443298
gse162632	cap48	8	P	CellOT	-0.38025062361200374
gse162632	cap48	8	O	NC	-0.30087629623050133
gse162632	cap48	8	O	CM	-0.2367826960313567
gse162632	cap48	8	O	TW	-0.2366278415336044
gse162632	cap48	8	O	PCA	-0.23643349450105294
gse162632	cap48	8	O	RBF	-0.2364605458977393
gse162632	cap48	8	O	scGen	-0.35019168727982075
gse162632	cap48	8	O	CPA	-0.6177781896239563
gse162632	cap48	8	O	CellOT	-0.3560397514785561
