case	unit	budget	geometry
CNN1+ETS2	Norman_pooled_screen	d8	0.023078322436158556
CNN1+ETS2	Norman_pooled_screen	d16	0.011505617022088228
CNN1+ETS2	Norman_pooled_screen	d32	0.0058005079222384097
CNN1+ETS2	Norman_pooled_screen	d64	0.0028792466883020358
CNN1+ETS2	Norman_pooled_screen	d128	0.0014380482443949827
CNN1+ETS2	Norman_pooled_screen	d135	0.0013661210416796598
KLF1+TGFBR2	Norman_pooled_screen	d8	0.023078322436158556
KLF1+TGFBR2	Norman_pooled_screen	d16	0.011505617022088228
KLF1+TGFBR2	Norman_pooled_screen	d32	0.0058005079222384097
KLF1+TGFBR2	Norman_pooled_screen	d64	0.0028792466883020358
KLF1+TGFBR2	Norman_pooled_screen	d128	0.0014380482443949827
KLF1+TGFBR2	Norman_pooled_screen	d135	0.0013661210416796598
PTPN12+ZBTB10	Norman_pooled_screen	d8	0.023078322436158556
PTPN12+ZBTB10	Norman_pooled_screen	d16	0.011505617022088228
PTPN12+ZBTB10	Norman_pooled_screen	d32	0.0058005079222384097
PTPN12+ZBTB10	Norman_pooled_screen	d64	0.0028792466883020358
PTPN12+ZBTB10	Norman_pooled_screen	d128	0.0014380482443949827
PTPN12+ZBTB10	Norman_pooled_screen	d135	0.0013661210416796598
CBL+CNN1	Norman_pooled_screen	d8	0.023078322436158556
CBL+CNN1	Norman_pooled_screen	d16	0.011505617022088228
CBL+CNN1	Norman_pooled_screen	d32	0.0058005079222384097
CBL+CNN1	Norman_pooled_screen	d64	0.0028792466883020358
CBL+CNN1	Norman_pooled_screen	d128	0.0014380482443949827
CBL+CNN1	Norman_pooled_screen	d135	0.0013661210416796598
FOSB+OSR2	Norman_pooled_screen	d8	0.023078322436158556
FOSB+OSR2	Norman_pooled_screen	d16	0.011505617022088228
FOSB+OSR2	Norman_pooled_screen	d32	0.0058005079222384097
FOSB+OSR2	Norman_pooled_screen	d64	0.0028792466883020358
FOSB+OSR2	Norman_pooled_screen	d128	0.0014380482443949827
FOSB+OSR2	Norman_pooled_screen	d135	0.0013661210416796598
CEBPE+ETS2	Norman_pooled_screen	d8	0.023078322436158556
CEBPE+ETS2	Norman_pooled_screen	d16	0.011505617022088228
CEBPE+ETS2	Norman_pooled_screen	d32	0.0058005079222384097
CEBPE+ETS2	Norman_pooled_screen	d64	0.0028792466883020358
CEBPE+ETS2	Norman_pooled_screen	d128	0.0014380482443949827
CEBPE+ETS2	Norman_pooled_screen	d135	0.0013661210416796598
FOSB+IKZF3	Norman_pooled_screen	d8	0.023078322436158556
FOSB+IKZF3	Norman_pooled_screen	d16	0.011505617022088228
FOSB+IKZF3	Norman_pooled_screen	d32	0.0058005079222384097
FOSB+IKZF3	Norman_pooled_screen	d64	0.0028792466883020358
FOSB+IKZF3	Norman_pooled_screen	d128	0.0014380482443949827
FOSB+IKZF3	Norman_pooled_screen	d135	0.0013661210416796598
CEBPE+PTPN12	Norman_pooled_screen	d8	0.023078322436158556
CEBPE+PTPN12	Norman_pooled_screen	d16	0.011505617022088228
CEBPE+PTPN12	Norman_pooled_screen	d32	0.0058005079222384097
CEBPE+PTPN12	Norman_pooled_screen	d64	0.0028792466883020358
CEBPE+PTPN12	Norman_pooled_screen	d128	0.0014380482443949827
CEBPE+PTPN12	Norman_pooled_screen	d135	0.0013661210416796598
CEBPB+MAPK1	Norman_pooled_screen	d8	0.023078322436158556
CEBPB+MAPK1	Norman_pooled_screen	d16	0.011505617022088228
CEBPB+MAPK1	Norman_pooled_screen	d32	0.0058005079222384097
CEBPB+MAPK1	Norman_pooled_screen	d64	0.0028792466883020358
CEBPB+MAPK1	Norman_pooled_screen	d128	0.0014380482443949827
CEBPB+MAPK1	Norman_pooled_screen	d135	0.0013661210416796598
CEBPE+CNN1	Norman_pooled_screen	d8	0.023078322436158556
CEBPE+CNN1	Norman_pooled_screen	d16	0.011505617022088228
CEBPE+CNN1	Norman_pooled_screen	d32	0.0058005079222384097
CEBPE+CNN1	Norman_pooled_screen	d64	0.0028792466883020358
CEBPE+CNN1	Norman_pooled_screen	d128	0.0014380482443949827
CEBPE+CNN1	Norman_pooled_screen	d135	0.0013661210416796598
RHOXF2B+ZBTB25	Norman_pooled_screen	d8	0.023078322436158556
RHOXF2B+ZBTB25	Norman_pooled_screen	d16	0.011505617022088228
RHOXF2B+ZBTB25	Norman_pooled_screen	d32	0.0058005079222384097
RHOXF2B+ZBTB25	Norman_pooled_screen	d64	0.0028792466883020358
