resource	budget	minimum_gap	ranking	comparisons	aurc	strict_reversal_aurc
norman	d8	0.0	anchor_margin	420	0.04650923649456403	0.04650923649456403
norman	d8	0.005	anchor_margin	420	0.06991617311685314	0.04650923649456403
norman	d8	0.01	anchor_margin	420	0.09960196146623729	0.04650923649456403
norman	d8	0.02	anchor_margin	420	0.21563933671865448	0.04650923649456403
norman	d8	0.0	calibrated_margin	420	0.04786809132486523	0.04786809132486523
norman	d8	0.005	calibrated_margin	420	0.07141886533808793	0.04786809132486523
norman	d8	0.01	calibrated_margin	420	0.10088764244497558	0.04786809132486523
norman	d8	0.02	calibrated_margin	420	0.21770376681997186	0.04786809132486523
norman	d16	0.0	anchor_margin	420	0.02762772548871308	0.02762772548871308
norman	d16	0.005	anchor_margin	420	0.058813777015907655	0.02762772548871308
norman	d16	0.01	anchor_margin	420	0.10339848491571284	0.02762772548871308
norman	d16	0.02	anchor_margin	420	0.1892673904308832	0.02762772548871308
norman	d16	0.0	calibrated_margin	420	0.02452880160059238	0.02452880160059238
norman	d16	0.005	calibrated_margin	420	0.060872823243659106	0.02452880160059238
norman	d16	0.01	calibrated_margin	420	0.10577691805050543	0.02452880160059238
norman	d16	0.02	calibrated_margin	420	0.18974151111311413	0.02452880160059238
norman	d32	0.0	anchor_margin	420	0.021296973211211465	0.021296973211211465
norman	d32	0.005	anchor_margin	420	0.052524367416300156	0.021296973211211465
norman	d32	0.01	anchor_margin	420	0.09040595438371846	0.021296973211211465
norman	d32	0.02	anchor_margin	420	0.17634775478223833	0.021296973211211465
norman	d32	0.0	calibrated_margin	420	0.020575085029765273	0.020575085029765273
norman	d32	0.005	calibrated_margin	420	0.05554146869342371	0.020575085029765273
norman	d32	0.01	calibrated_margin	420	0.09521903961631763	0.020575085029765273
norman	d32	0.02	calibrated_margin	420	0.17654719067252816	0.020575085029765273
norman	d64	0.0	anchor_margin	420	0.009090369341251193	0.009090369341251193
norman	d64	0.005	anchor_margin	420	0.04034361632561645	0.009090369341251193
norman	d64	0.01	anchor_margin	420	0.06678381822425807	0.009090369341251193
norman	d64	0.02	anchor_margin	420	0.14499770575959917	0.009090369341251193
norman	d64	0.0	calibrated_margin	420	0.008568565227125454	0.008568565227125454
norman	d64	0.005	calibrated_margin	420	0.039498018378174966	0.008568565227125454
norman	d64	0.01	calibrated_margin	420	0.06715099394906314	0.008568565227125454
norman	d64	0.02	calibrated_margin	420	0.1444038903014214	0.008568565227125454
norman	d128	0.0	anchor_margin	420	0.0033417361781434432	0.0033417361781434432
norman	d128	0.005	anchor_margin	420	0.031842629426090514	0.0033417361781434432
norman	d128	0.01	anchor_margin	420	0.061243126130056474	0.0033417361781434432
norman	d128	0.02	anchor_margin	420	0.12580515004226359	0.0033417361781434432
norman	d128	0.0	calibrated_margin	420	0.004321082088691854	0.004321082088691854
norman	d128	0.005	calibrated_margin	420	0.03308081908462188	0.004321082088691854
norman	d128	0.01	calibrated_margin	420	0.062042420399300226	0.004321082088691854
norman	d128	0.02	calibrated_margin	420	0.12603384901456807	0.004321082088691854
norman	d135	0.0	anchor_margin	420	0.0034027359433411635	0.0034027359433411635
norman	d135	0.005	anchor_margin	420	0.031385728236392636	0.0034027359433411635
norman	d135	0.01	anchor_margin	420	0.06139730393367252	0.0034027359433411635
norman	d135	0.02	anchor_margin	420	0.12444061169933916	0.0034027359433411635
norman	d135	0.0	calibrated_margin	420	0.004648094061105879	0.004648094061105879
norman	d135	0.005	calibrated_margin	420	0.033299600577735074	0.004648094061105879
norman	d135	0.01	calibrated_margin	420	0.06251581782037208	0.004648094061105879
norman	d135	0.02	calibrated_margin	420	0.12478468795139953	0.004648094061105879
original8	d8	0.0	anchor_margin	78	0.0	0.0
original8	d8	0.005	anchor_margin	78	0.0	0.0
original8	d8	0.01	anchor_margin	78	0.0	0.0
original8	d8	0.02	anchor_margin	78	0.0	0.0
original8	d8	0.0	calibrated_margin	78	0.0	0.0
original8	d8	0.005	calibrated_margin	78	0.0	0.0
original8	d8	0.01	calibrated_margin	78	0.0	0.0
original8	d8	0.02	calibrated_margin	78	0.0	0.0
cap48	d8	0.0	anchor_margin	78	0.0	0.0
cap48	d8	0.005	anchor_margin	78	0.0	0.0
cap48	d8	0.01	anchor_margin	78	0.0	0.0
cap48	d8	0.02	anchor_margin	78	0.0	0.0
cap48	d8	0.0	calibrated_margin	78	0.0	0.0
cap48	d8	0.005	calibrated_margin	78	0.0	0.0
cap48	d8	0.01	calibrated_margin	78	0.0	0.0
cap48	d8	0.02	calibrated_margin	78	0.0	0.0
