resource	budget	minimum_gap	rule	comparisons	selected	coverage	unsupported	risk	strict_reversals	strict_reversal_risk	no_direction	units	units_with_selections	unit_macro_coverage	unit_macro_risk
norman	d8	0.0	single_split	420	420	1.0	104	0.24761904761904763	104	0.24761904761904763	0	1	1	1.0	0.24761904761904763
norman	d8	0.0	repeated_primary	420	203	0.48333333333333334	0	0.0	0	0.0	0	1	1	0.48333333333333334	0.0
norman	d8	0.0	development_margin	420	203	0.48333333333333334	2	0.009852216748768473	2	0.009852216748768473	0	1	1	0.48333333333333334	0.009852216748768473
norman	d8	0.005	single_split	420	360	0.8571428571428571	75	0.20833333333333334	50	0.1388888888888889	0	1	1	0.8571428571428571	0.20833333333333334
norman	d8	0.005	repeated_primary	420	185	0.44047619047619047	0	0.0	0	0.0	0	1	1	0.44047619047619047	0.0
norman	d8	0.005	development_margin	420	191	0.45476190476190476	2	0.010471204188481676	2	0.010471204188481676	0	1	1	0.45476190476190476	0.010471204188481676
norman	d8	0.01	single_split	420	323	0.7690476190476191	65	0.20123839009287925	24	0.07430340557275542	0	1	1	0.7690476190476191	0.20123839009287925
norman	d8	0.01	repeated_primary	420	165	0.39285714285714285	0	0.0	0	0.0	0	1	1	0.39285714285714285	0.0
norman	d8	0.01	development_margin	420	137	0.3261904761904762	0	0.0	0	0.0	0	1	1	0.3261904761904762	0.0
norman	d8	0.02	single_split	420	246	0.5857142857142857	66	0.2682926829268293	4	0.016260162601626018	0	1	1	0.5857142857142857	0.2682926829268293
norman	d8	0.02	repeated_primary	420	137	0.3261904761904762	1	0.0072992700729927005	0	0.0	0	1	1	0.3261904761904762	0.0072992700729927005
norman	d8	0.02	development_margin	420	137	0.3261904761904762	2	0.014598540145985401	0	0.0	0	1	1	0.3261904761904762	0.014598540145985401
norman	d16	0.0	single_split	420	420	1.0	75	0.17857142857142858	75	0.17857142857142858	0	1	1	1.0	0.17857142857142858
norman	d16	0.0	repeated_primary	420	236	0.5619047619047619	0	0.0	0	0.0	0	1	1	0.5619047619047619	0.0
norman	d16	0.0	development_margin	420	192	0.45714285714285713	0	0.0	0	0.0	0	1	1	0.45714285714285713	0.0
norman	d16	0.005	single_split	420	366	0.8714285714285714	71	0.19398907103825136	28	0.07650273224043716	0	1	1	0.8714285714285714	0.19398907103825136
norman	d16	0.005	repeated_primary	420	207	0.4928571428571429	0	0.0	0	0.0	0	1	1	0.4928571428571429	0.0
norman	d16	0.005	development_margin	420	192	0.45714285714285713	1	0.005208333333333333	0	0.0	0	1	1	0.45714285714285713	0.005208333333333333
norman	d16	0.01	single_split	420	308	0.7333333333333333	59	0.19155844155844157	11	0.03571428571428571	0	1	1	0.7333333333333333	0.19155844155844157
norman	d16	0.01	repeated_primary	420	186	0.44285714285714284	0	0.0	0	0.0	0	1	1	0.44285714285714284	0.0
norman	d16	0.01	development_margin	420	192	0.45714285714285713	1	0.005208333333333333	0	0.0	0	1	1	0.45714285714285713	0.005208333333333333
norman	d16	0.02	single_split	420	241	0.5738095238095238	49	0.2033195020746888	1	0.004149377593360996	0	1	1	0.5738095238095238	0.2033195020746888
norman	d16	0.02	repeated_primary	420	152	0.3619047619047619	1	0.006578947368421052	0	0.0	0	1	1	0.3619047619047619	0.006578947368421052
norman	d16	0.02	development_margin	420	137	0.3261904761904762	1	0.0072992700729927005	0	0.0	0	1	1	0.3261904761904762	0.0072992700729927005
norman	d32	0.0	single_split	420	420	1.0	62	0.14761904761904762	62	0.14761904761904762	0	1	1	1.0	0.14761904761904762
norman	d32	0.0	repeated_primary	420	262	0.6238095238095238	2	0.007633587786259542	2	0.007633587786259542	0	1	1	0.6238095238095238	0.007633587786259542
norman	d32	0.0	development_margin	420	242	0.5761904761904761	0	0.0	0	0.0	0	1	1	0.5761904761904761	0.0
norman	d32	0.005	single_split	420	350	0.8333333333333334	51	0.1457142857142857	21	0.06	0	1	1	0.8333333333333334	0.1457142857142857
norman	d32	0.005	repeated_primary	420	228	0.5428571428571428	0	0.0	0	0.0	0	1	1	0.5428571428571428	0.0
norman	d32	0.005	development_margin	420	228	0.5428571428571428	1	0.0043859649122807015	0	0.0	0	1	1	0.5428571428571428	0.0043859649122807015
norman	d32	0.01	single_split	420	302	0.719047619047619	43	0.1423841059602649	6	0.019867549668874173	0	1	1	0.719047619047619	0.1423841059602649
norman	d32	0.01	repeated_primary	420	202	0.48095238095238096	0	0.0	0	0.0	0	1	1	0.48095238095238096	0.0
norman	d32	0.01	development_margin	420	205	0.4880952380952381	1	0.004878048780487805	0	0.0	0	1	1	0.4880952380952381	0.004878048780487805
norman	d32	0.02	single_split	420	242	0.5761904761904761	43	0.17768595041322313	0	0.0	0	1	1	0.5761904761904761	0.17768595041322313
norman	d32	0.02	repeated_primary	420	158	0.3761904761904762	0	0.0	0	0.0	0	1	1	0.3761904761904762	0.0
norman	d32	0.02	development_margin	420	168	0.4	1	0.005952380952380952	0	0.0	0	1	1	0.4	0.005952380952380952
norman	d64	0.0	single_split	420	420	1.0	39	0.09285714285714286	39	0.09285714285714286	0	1	1	1.0	0.09285714285714286
norman	d64	0.0	repeated_primary	420	302	0.719047619047619	0	0.0	0	0.0	0	1	1	0.719047619047619	0.0
norman	d64	0.0	development_margin	420	272	0.6476190476190476	0	0.0	0	0.0	0	1	1	0.6476190476190476	0.0
norman	d64	0.005	single_split	420	351	0.8357142857142857	40	0.11396011396011396	6	0.017094017094017096	0	1	1	0.8357142857142857	0.11396011396011396
norman	d64	0.005	repeated_primary	420	273	0.65	2	0.007326007326007326	0	0.0	0	1	1	0.65	0.007326007326007326
norman	d64	0.005	development_margin	420	272	0.6476190476190476	2	0.007352941176470588	0	0.0	0	1	1	0.6476190476190476	0.007352941176470588
norman	d64	0.01	single_split	420	304	0.7238095238095238	26	0.08552631578947369	1	0.003289473684210526	0	1	1	0.7238095238095238	0.08552631578947369
norman	d64	0.01	repeated_primary	420	241	0.5738095238095238	0	0.0	0	0.0	0	1	1	0.5738095238095238	0.0
norman	d64	0.01	development_margin	420	239	0.569047619047619	0	0.0	0	0.0	0	1	1	0.569047619047619	0.0
norman	d64	0.02	single_split	420	241	0.5738095238095238	24	0.0995850622406639	0	0.0	0	1	1	0.5738095238095238	0.0995850622406639
norman	d64	0.02	repeated_primary	420	192	0.45714285714285713	1	0.005208333333333333	0	0.0	0	1	1	0.45714285714285713	0.005208333333333333
norman	d64	0.02	development_margin	420	173	0.4119047619047619	1	0.005780346820809248	0	0.0	0	1	1	0.4119047619047619	0.005780346820809248
norman	d128	0.0	single_split	420	420	1.0	29	0.06904761904761905	29	0.06904761904761905	0	1	1	1.0	0.06904761904761905
norman	d128	0.0	repeated_primary	420	310	0.7380952380952381	0	0.0	0	0.0	0	1	1	0.7380952380952381	0.0
norman	d128	0.0	development_margin	420	319	0.7595238095238095	0	0.0	0	0.0	0	1	1	0.7595238095238095	0.0
