resource	minimum_gap	budget	comparable	no_more_unsupported_and_no_lower_coverage	outcome
Norman	0.01	d8	True	True	parity
Norman	0.01	d16	True	True	parity
Norman	0.01	d32	True	True	parity
Norman	0.01	d64	True	True	parity
Norman	0.01	d128	True	True	parity
Norman	0.01	d135	True	True	parity
Norman	0.0	d8	True	True	parity
Norman	0.0	d16	True	True	parity
Norman	0.0	d32	True	True	parity
Norman	0.0	d64	True	True	parity
Norman	0.0	d128	True	True	parity
Norman	0.0	d135	True	True	parity
Norman	0.005	d8	True	True	parity
Norman	0.005	d16	True	True	parity
Norman	0.005	d32	True	True	parity
Norman	0.005	d64	True	True	parity
Norman	0.005	d128	True	True	parity
Norman	0.005	d135	True	True	parity
Norman	0.02	d8	True	True	parity
Norman	0.02	d16	True	True	parity
Norman	0.02	d32	True	True	parity
Norman	0.02	d64	True	True	parity
Norman	0.02	d128	True	True	parity
Norman	0.02	d135	True	True	parity
