regime	observation_block	seed_summary	root_id	cell_type	task_row	program_id	observed	S_selected	D_selected	S_family	D_family
cap48	1	17	ROOT_01	B	0	HALLMARK_ADIPOGENESIS	0.0023089574048189804	-0.0019539164404566212	0.018396758289265028	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_ALLOGRAFT_REJECTION	0.19188404555413335	0.09456894319780589	0.1504482831830556	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_ANDROGEN_RESPONSE	0.04927989186028409	0.2261798505689165	0.08877983393364733	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_APICAL_JUNCTION	-0.12043966186668775	-0.13901861938435617	-0.0014155741904502072	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_APOPTOSIS	0.2803589875166356	0.21149270281658397	0.21263183766812882	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_COAGULATION	-0.09186667900751967	-0.12974696222681203	0.0013502736066741514	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_COMPLEMENT	0.08658397486083318	0.11438593328790099	0.14055382391494847	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_DNA_REPAIR	0.020398453796448186	0.04833803639337123	0.0241477063429056	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_E2F_TARGETS	0.05710213222599512	0.09758564706239861	0.03418095223866212	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.04696571788672018	-0.0018225162604774275	0.07710598022222157	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_ESTROGEN_RESPONSE_LATE	0.0039799260419436525	0.013485539474782416	0.13410288684155913	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_FATTY_ACID_METABOLISM	0.07212171100788017	0.09644294492079639	0.07823722386486412	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_G2M_CHECKPOINT	0.049039835798435884	0.04378360370666697	0.06477223959013288	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_GLYCOLYSIS	-0.03311198817430948	-0.011923018483410494	0.07996798749635185	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_HEME_METABOLISM	0.06147293987960697	-0.006999811395556598	0.02170609124794321	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_HYPOXIA	0.1659165044558128	0.07135463348657978	0.13278789517863418	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_IL2_STAT5_SIGNALING	0.22633753367787657	0.18829981099776286	0.17482519052671294	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.3643651301093778	0.3267308513128417	0.40746322457146467	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_INFLAMMATORY_RESPONSE	0.3529058154960626	0.4276127806457223	0.416280352309789	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_INTERFERON_ALPHA_RESPONSE	1.1822507790277044	1.130721464157069	1.095275626315342	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.745644464509675	0.6824389704453102	0.6722622351320423	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_KRAS_SIGNALING_UP	0.3006629457729676	0.18745915410589523	0.1665852575868724	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_MITOTIC_SPINDLE	0.05914245436670956	-0.020930523968685177	-0.002100340385277444	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_MTORC1_SIGNALING	-0.022441878174982718	0.005225961418908253	0.008631736583090311	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_MYC_TARGETS_V1	0.0030265218072523634	0.0012978391261898865	0.037178522398553716	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.05880797052052919	0.011199751549942757	0.021299023796987816	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_P53_PATHWAY	0.13271232677384293	0.11421793806129177	0.08602196828871939	scGen	PCA
cap48	1	17	ROOT_01	B	0	HALLMARK_PEROXISOME	0.02015319527593141	-0.009008871017870929	0.012376870401410271	scGen	PCA
