regime	label	input_block	observation_block	seed_summary	root_index	root_id	S_family	D_family	mse_S	mse_D	mse_D_minus_S	mae_S	mae_D	cohort_display	evaluation	cohort	program_panel	donor_id	batch_id	capture_orientation	mae_D_minus_S	prediction_mae_difference
original8	0	1	1	mean_of_scored_seeds	0	ROOT_01	scGen	TW	0.0085733645892912998	0.0095765740864137	0.0010032094971224	0.075522159427398594	0.076097225479349995	original8								
original8	0	1	1	mean_of_scored_seeds	1	ROOT_02	scGen	TW	0.0115965963477642	0.011183024306108701	-0.00041357204165540001	0.0816355841810395	0.084020557165137899	original8								
original8	0	1	1	mean_of_scored_seeds	2	ROOT_03	scGen	TW	0.0071192151316961999	0.011131235809201501	0.0040120206775052999	0.069122039209682101	0.085629255539742696	original8								
original8	0	1	1	mean_of_scored_seeds	3	ROOT_04	scGen	TW	0.0091973702672337992	0.0149943074008199	0.0057969371335860002	0.073800065983859006	0.094920040036342093	original8								
original8	0	1	1	mean_of_scored_seeds	4	ROOT_05	scGen	TW	0.0061701175798123996	0.0100442350646478	0.0038741174848354	0.062945787088728597	0.083232310626023098	original8								
original8	0	1	1	mean_of_scored_seeds	5	ROOT_06	scGen	TW	0.010491308102428	0.0084973197234781001	-0.0019939883789499	0.075910372541043797	0.071161868541517903	original8								
original8	0	1	1	mean_of_scored_seeds	6	ROOT_07	scGen	PCA	0.0271547131826484	0.027048105775106	-0.00010660740754240001	0.1184792489126856	0.1229821948804798	original8								
original8	0	1	1	mean_of_scored_seeds	7	ROOT_08	scGen	TW	0.0059196101368091999	0.011691333476866701	0.0057717233400574001	0.060885156705035103	0.087763650873684998	original8								
original8	0	1	2	mean_of_scored_seeds	0	ROOT_01	scGen	TW	0.0176820499066788	0.0138793612272189	-0.0038026886794599001	0.1024661824510667	0.092383790216016906	original8								
original8	0	1	2	mean_of_scored_seeds	1	ROOT_02	scGen	TW	0.0117067810408212	0.0107472192706984	-0.00095956177012270004	0.086508547229171603	0.080170483592419406	original8								
original8	0	1	2	mean_of_scored_seeds	2	ROOT_03	scGen	TW	0.0154031625731523	0.0095957940831210998	-0.0058073684900311002	0.096486083690730695	0.078324626974206293	original8								
original8	0	1	2	mean_of_scored_seeds	3	ROOT_04	scGen	TW	0.013440882015723301	0.014488659354883899	0.0010477773391605999	0.0917660060278849	0.090874032483033093	original8								
original8	0	1	2	mean_of_scored_seeds	4	ROOT_05	scGen	TW	0.0153790209503016	0.0086708866261660002	-0.0067081343241355996	0.1000124525592069	0.072964413093822206	original8								
original8	0	1	2	mean_of_scored_seeds	5	ROOT_06	scGen	TW	0.0161937306369319	0.0115914203228068	-0.0046023103141251001	0.099376710079041697	0.083865658568780296	original8								
original8	0	1	2	mean_of_scored_seeds	6	ROOT_07	scGen	PCA	0.039455895574977903	0.030497232576829701	-0.0089586629981480998	0.1513973522888438	0.13172262764975859	original8								
original8	0	1	2	mean_of_scored_seeds	7	ROOT_08	scGen	TW	0.0114966003459849	0.0093766618649229003	-0.0021199384810619	0.084756056815836298	0.079204218266978293	original8								
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.0096470419595494992	0.021599872562783399	0.0119528306032339	0.077617837658414901	0.1154675400814395	new39	shared_observation	primary39_two_types	all37	V01	B12	NI_capture_1	0.037849702423024503	0.082896753114333699
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.0148280684035352	0.026554238736538401	0.011726170333003201	0.085700360779344203	0.119794694064761	new39	shared_observation	primary39_two_types	all37	V02	B12	NI_capture_1	0.034094333285416799	0.072066038750949801
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.0065002159067639002	0.015728674718474799	0.0092284588117109	0.0619641625804703	0.097403130697215706	new39	shared_observation	primary39_two_types	all37	V03	B12	NI_capture_2	0.035438968116745302	0.099821168133329696
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.010451733895079101	0.013621490038014199	0.0031697561429349999	0.084368476460049496	0.081742823774425405	new39	shared_observation	primary39_two_types	all37	V04	B12	NI_capture_2	-0.0026256526856241	0.085182707098141894
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.0064398068174604996	0.018413227150252499	0.0119734203327919	0.062623163271773793	0.1058105752709208	new39	shared_observation	primary39_two_types	all37	V05	B12	NI_capture_2	0.043187411999146899	0.0905775688523517
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.015958780794327301	0.019542932307564199	0.0035841515132368999	0.1007791704891025	0.117962410787863	new39	shared_observation	primary39_two_types	all37	V06	B7	NI_capture_1	0.017183240298760501	0.066306552345443207
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.0085402664337599996	0.019037457486524099	0.010497191052763999	0.069629521857242499	0.10814284499601159	new39	shared_observation	primary39_two_types	all37	V07	B7	NI_capture_1	0.038513323138769102	0.073506574101248404
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.0077155071264810001	0.0088838854901219996	0.0011683783636409	0.064637201592267393	0.072997897225893102	new39	shared_observation	primary39_two_types	all37	V08	B7	NI_capture_2	0.0083606956336255995	0.073072692583423707
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.0113222968712005	0.029650519267312801	0.0183282223961122	0.088152440746603902	0.13841176391621049	new39	shared_observation	primary39_two_types	all37	V09	B7	NI_capture_2	0.050259323169606497	0.080858027787742495
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.0164840584560558	0.0077618914533253997	-0.0087221670027302998	0.096016059867367595	0.063451044952334404	new39	shared_observation	primary39_two_types	all37	V10	B7	NI_capture_2	-0.032565014915033101	0.093307544343196699
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.0039986192128074003	0.0101132479985915	0.0061146287857839999	0.046252780781693599	0.083017171362079506	new39	shared_observation	primary39_two_types	all37	V11	B1	NI_capture_1	0.036764390580385803	0.085843573482097896
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.016769895442826699	0.021743857479482799	0.0049739620366559996	0.10860081774078401	0.12825012630428351	new39	shared_observation	primary39_two_types	all37	V12	B1	NI_capture_1	0.019649308563499401	0.076212856838202406
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.029549728863389298	0.019741910281638301	-0.0098078185817509992	0.1441573625503707	0.10648317697665249	new39	shared_observation	primary39_two_types	all37	V13	B1	NI_capture_2	-0.037674185573718197	0.093913924752998701
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.017432561775147602	0.0082007880037014997	-0.0092317737714459995	0.10282730277954159	0.070893383598866405	new39	shared_observation	primary39_two_types	all37	V14	B1	NI_capture_2	-0.031933919180675098	0.077331068140602699
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.0082309439438310993	0.0073360912039889996	-0.00089485273984210004	0.074010844233032502	0.064976427184859006	new39	shared_observation	primary39_two_types	all37	V15	B1	NI_capture_2	-0.0090344170481734005	0.073291360863532898
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.031352872649614401	0.032397295787531297	0.0010444231379169	0.14336220815534989	0.1503526410179892	new39	shared_observation	primary39_two_types	all37	V16	B2	NI_capture_1	0.0069904328626394004	0.058009230451520302
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.0094491201212807008	0.028290401500781801	0.018841281379501099	0.079568839734602895	0.14555203833606151	new39	shared_observation	primary39_two_types	all37	V17	B2	NI_capture_1	0.065983198601458598	0.084537529946038401
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.019874632328756799	0.021656369731235199	0.0017817374024783001	0.1063103477174836	0.1079923297162497	new39	shared_observation	primary39_two_types	all37	V18	B2	NI_capture_2	0.001681981998766	0.068192623672257396
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.011738451243980199	0.014303315975795899	0.0025648647318155999	0.0776080398711715	0.089919493239669301	new39	shared_observation	primary39_two_types	all37	V19	B2	NI_capture_2	0.012311453368497699	0.083506662742200699
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.049199404619687602	0.029605116576670702	-0.0195942880430168	0.17306018745180049	0.1404563040471562	new39	shared_observation	primary39_two_types	all37	V20	B2	NI_capture_2	-0.0326038834046442	0.066403480101815598
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.0389432626265852	0.026937276050958501	-0.012005986575626701	0.1707686958190095	0.13678599165575861	new39	shared_observation	primary39_two_types	all37	V21	B9	NI_capture_1	-0.033982704163250797	0.067919086909664694
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.0133022692601151	0.0051903468766127999	-0.0081119223835021993	0.088570434084069394	0.056561772283079299	new39	shared_observation	primary39_two_types	all37	V22	B9	NI_capture_1	-0.032008661800990101	0.074663349653001906
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.0081123102173091006	0.0085381370660247008	0.00042582684871549998	0.072063381115750405	0.075308310401967393	new39	shared_observation	primary39_two_types	all37	V23	B9	NI_capture_1	0.0032449292862169001	0.077295459079206
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.0173618690626571	0.0083906613739853	-0.0089712076886718003	0.107349735888914	0.068800482810912597	new39	shared_observation	primary39_two_types	all37	V24	B9	NI_capture_2	-0.038549253078001403	0.092366212792531197
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.015021565881186799	0.033629939960494501	0.0186083740793077	0.098010509818929101	0.1516146949197284	new39	shared_observation	primary39_two_types	all37	V25	B9	NI_capture_2	0.053604185100799298	0.070228312737629597
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.010386095865870901	0.032044777132796701	0.021658681266925699	0.083887629985955503	0.1474224736368637	new39	shared_observation	primary39_two_types	all37	V26	B13	NI_capture_1	0.063534843650908196	0.095942811444237594
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.0130911754450366	0.0089003612646477992	-0.0041908141803886998	0.082101460276184299	0.072026471834926803	new39	shared_observation	primary39_two_types	all37	V27	B13	NI_capture_1	-0.0100749884412574	0.081744651251405398
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.023432717769453999	0.015995174486440999	-0.0074375432830129	0.11293513076029731	0.092069253945273002	new39	shared_observation	primary39_two_types	all37	V28	B13	NI_capture_1	-0.020865876815024199	0.085554010490269006
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.0131609668297543	0.011965831180075799	-0.0011951356496784	0.091518531517181395	0.083262741750273705	new39	shared_observation	primary39_two_types	all37	V29	B13	NI_capture_2	-0.0082557897669075994	0.068184451910799401
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.026462228356574601	0.046514334825213603	0.020052106468638999	0.1053087582679776	0.14917623499533161	new39	shared_observation	primary39_two_types	all37	V30	B13	NI_capture_2	0.043867476727353999	0.079988605107765398
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.012243676528855401	0.0322800406848502	0.020036364155994701	0.087350686208881104	0.13560268813709209	new39	shared_observation	primary39_two_types	all37	V31	B3	NI_capture_1	0.048252001928210997	0.095264625009555307
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.0111948847872972	0.014918586769787299	0.0037237019824900002	0.079842953180634404	0.090419612660467996	new39	shared_observation	primary39_two_types	all37	V32	B3	NI_capture_1	0.0105766594798336	0.083187676036831096
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.012747846067973001	0.010561291177760701	-0.0021865548902121998	0.081394540726849998	0.082863765031746903	new39	shared_observation	primary39_two_types	all37	V33	B3	NI_capture_1	0.0014692243048968999	0.096704649545300697
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.019686795683983599	0.021998732568918	0.0023119368849344002	0.1164296035144191	0.1231089965267268	new39	shared_observation	primary39_two_types	all37	V34	B3	NI_capture_2	0.0066793930123076996	0.080874130410816203
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.0118034659882865	0.035216995497032999	0.023413529508746402	0.088119448807221307	0.1470318266373993	new39	shared_observation	primary39_two_types	all37	V35	B3	NI_capture_2	0.058912377830177901	0.084477885011313494
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.0071285290208421004	0.0100640761273175	0.0029355471064753998	0.065660323921031993	0.078142250565663804	new39	shared_observation	primary39_two_types	all37	V36	B15	NI_capture_1	0.0124819266446317	0.073262904736797099
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.0223074179688726	0.0101943616972207	-0.012113056271651801	0.1029562629684385	0.080439754877065797	new39	shared_observation	primary39_two_types	all37	V37	B15	NI_capture_1	-0.022516508091372699	0.088234851178109502
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.053751327330275399	0.036420005871807201	-0.017331321458468101	0.19871227848261419	0.16063160603906421	new39	shared_observation	primary39_two_types	all37	V38	B15	NI_capture_1	-0.038080672443549901	0.063908812505603305
original8	0	1	1	mean_of_scored_seeds			scGen	TW	0.0071802526081948996	0.018339588123393299	0.011159335515198401	0.067197552385662204	0.1047791558637606	new39	shared_observation	primary39_two_types	all37	V39	B15	NI_capture_2	0.037581603478098302	0.079912571120499001
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.0236567592470232	0.027869536834775801	0.0042127775877526001	0.12549291342504329	0.13930270223248059	new39	independent_observation	primary39_two_types	all37	V01	B12	NI_capture_1	0.013809788807437299	0.082896753114333699
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.027087606439118402	0.0287967300970761	0.0017091236579576	0.1243505271696953	0.1249543756516452	new39	independent_observation	primary39_two_types	all37	V02	B12	NI_capture_1	0.00060384848194979998	0.072066038750949801
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.013788247046392201	0.0125911934059828	-0.0011970536404093	0.095688650742207199	0.092170026222626794	new39	independent_observation	primary39_two_types	all37	V03	B12	NI_capture_2	-0.0035186245195804001	0.099821168133329696
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.015979972637122	0.013812155406708101	-0.0021678172304139	0.10141702581832721	0.093367352695507805	new39	independent_observation	primary39_two_types	all37	V04	B12	NI_capture_2	-0.0080496731228193001	0.085182707098141894
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.0206852885391859	0.030922371777377201	0.010237083238191299	0.11789539972754561	0.1450335199951053	new39	independent_observation	primary39_two_types	all37	V05	B12	NI_capture_2	0.027138120267559698	0.0905775688523517
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.0198043857022231	0.0220670521380864	0.0022626664358632999	0.1094472939044194	0.1189274899265078	new39	independent_observation	primary39_two_types	all37	V06	B7	NI_capture_1	0.0094801960220882997	0.066306552345443207
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.018361004591230599	0.025624139031501399	0.0072631344402707999	0.1045483040671534	0.1329906522196381	new39	independent_observation	primary39_two_types	all37	V07	B7	NI_capture_1	0.028442348152484701	0.073506574101248404
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.018074427547032899	0.0088410738203344007	-0.0092333537266984008	0.1093926995360327	0.075459218093489405	new39	independent_observation	primary39_two_types	all37	V08	B7	NI_capture_2	-0.033933481442543198	0.073072692583423707
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.0289120356107389	0.040180445148576403	0.0112684095378375	0.14705598207826051	0.1698438779866551	new39	independent_observation	primary39_two_types	all37	V09	B7	NI_capture_2	0.022787895908394602	0.080858027787742495
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.0137354029506036	0.0064763817495324004	-0.0072590212010711997	0.086786749284631204	0.062923270253193497	new39	independent_observation	primary39_two_types	all37	V10	B7	NI_capture_2	-0.023863479031437599	0.093307544343196699
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.0105449668663723	0.0148991387102968	0.0043541718439245002	0.081739207311038897	0.10450063803628019	new39	independent_observation	primary39_two_types	all37	V11	B1	NI_capture_1	0.0227614307252413	0.085843573482097896
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.026120468089716398	0.025650765600397401	-0.00046970248931890002	0.12647893690622039	0.1299495311784826	new39	independent_observation	primary39_two_types	all37	V12	B1	NI_capture_1	0.0034705942722621	0.076212856838202406
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.0398730780183763	0.021549278161617402	-0.018323799856758902	0.1702657108218619	0.1196618736184967	new39	independent_observation	primary39_two_types	all37	V13	B1	NI_capture_2	-0.050603837203365198	0.093913924752998701
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.0266912247348805	0.011394336562910499	-0.015296888171970001	0.1268113432066823	0.083305044227973302	new39	independent_observation	primary39_two_types	all37	V14	B1	NI_capture_2	-0.043506298978709002	0.077331068140602699
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.022979039270787999	0.0100346326868434	-0.0129444065839446	0.1256267351290179	0.0775318560320154	new39	independent_observation	primary39_two_types	all37	V15	B1	NI_capture_2	-0.048094879097002503	0.073291360863532898
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.041310751621066698	0.039595207545875699	-0.0017155440751909	0.17508612392349229	0.17932051838587981	new39	independent_observation	primary39_two_types	all37	V16	B2	NI_capture_1	0.0042343944623874996	0.058009230451520302
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.0134697404294423	0.0189973947517969	0.0055276543223546004	0.086004263132926598	0.1108294024774379	new39	independent_observation	primary39_two_types	all37	V17	B2	NI_capture_1	0.024825139344511301	0.084537529946038401
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.028621171114186598	0.021455348305099702	-0.0071658228090867998	0.12795163335535359	0.1057222448389103	new39	independent_observation	primary39_two_types	all37	V18	B2	NI_capture_2	-0.022229388516443301	0.068192623672257396
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.033147389911696197	0.016803847316848301	-0.016343542594847899	0.14858009498584299	0.1057796344987372	new39	independent_observation	primary39_two_types	all37	V19	B2	NI_capture_2	-0.042800460487105702	0.083506662742200699
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.050968820445512097	0.028513869614869802	-0.022454950830642299	0.17562072994810371	0.13813750234282149	new39	independent_observation	primary39_two_types	all37	V20	B2	NI_capture_2	-0.037483227605282103	0.066403480101815598
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.040636563445021499	0.020849473067408399	-0.019787090377613101	0.15177533895998499	0.1105220605592333	new39	independent_observation	primary39_two_types	all37	V21	B9	NI_capture_1	-0.0412532784007517	0.067919086909664694
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.013261468908808201	0.0072096042395182001	-0.0060518646692899001	0.083344587329375497	0.067965700111178001	new39	independent_observation	primary39_two_types	all37	V22	B9	NI_capture_1	-0.0153788872181974	0.074663349653001906
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.015998928869250799	0.016048056408770099	4.9127539519380932e-05	0.1025789864743091	0.10535852428238961	new39	independent_observation	primary39_two_types	all37	V23	B9	NI_capture_1	0.0027795378080805	0.077295459079206
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.026557279172265899	0.0088403252752123993	-0.017716953897053501	0.12555809471277771	0.072493366784474503	new39	independent_observation	primary39_two_types	all37	V24	B9	NI_capture_2	-0.053064727928303197	0.092366212792531197
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.0246689893815813	0.039803732760790397	0.015134743379209	0.12848129869141139	0.1648095454525727	new39	independent_observation	primary39_two_types	all37	V25	B9	NI_capture_2	0.036328246761161302	0.070228312737629597
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.022350821155610101	0.0090479237973905002	-0.0133028973582195	0.1230478897282641	0.076232562456041097	new39	independent_observation	primary39_two_types	all37	V26	B13	NI_capture_1	-0.046815327272222998	0.095942811444237594
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.020705569773004601	0.011441607778621099	-0.0092639619943835003	0.1095959289390132	0.083981702842165898	new39	independent_observation	primary39_two_types	all37	V27	B13	NI_capture_1	-0.025614226096847201	0.081744651251405398
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.0354443108000373	0.0141720974071462	-0.021272213392890999	0.13732249030821239	0.089401865964326005	new39	independent_observation	primary39_two_types	all37	V28	B13	NI_capture_1	-0.0479206243438864	0.085554010490269006
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.016247573548941199	0.0094724615293268997	-0.0067751120196141998	0.1013327399812906	0.076158555721695997	new39	independent_observation	primary39_two_types	all37	V29	B13	NI_capture_2	-0.025174184259594602	0.068184451910799401
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.035813918168514501	0.0554255229424334	0.019611604773918798	0.12645274009042351	0.16819944372030471	new39	independent_observation	primary39_two_types	all37	V30	B13	NI_capture_2	0.041746703629881199	0.079988605107765398
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.023850107975307001	0.019551970838352001	-0.0042981371369549999	0.12224774704545439	0.1123997111911358	new39	independent_observation	primary39_two_types	all37	V31	B3	NI_capture_1	-0.0098480358543186	0.095264625009555307
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.0254067324759862	0.020371014155129801	-0.0050357183208562997	0.1295773949762874	0.1172118407458949	new39	independent_observation	primary39_two_types	all37	V32	B3	NI_capture_1	-0.0123655542303924	0.083187676036831096
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.017683550046809299	0.016073970713966001	-0.0016095793328433001	0.1005676056029811	0.10038651038399179	new39	independent_observation	primary39_two_types	all37	V33	B3	NI_capture_1	-0.0001810952189892	0.096704649545300697
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.025864611760538801	0.0142283533836472	-0.011636258376891501	0.1326005581625786	0.096952403560688294	new39	independent_observation	primary39_two_types	all37	V34	B3	NI_capture_2	-0.035648154601890199	0.080874130410816203
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.012420365839960101	0.023573731175782601	0.0111533653358224	0.087594569004943001	0.1190270338000252	new39	independent_observation	primary39_two_types	all37	V35	B3	NI_capture_2	0.031432464795082202	0.084477885011313494
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.020783849800511501	0.0098546238666249002	-0.010929225933886601	0.11979835777364339	0.0806403175712746	new39	independent_observation	primary39_two_types	all37	V36	B15	NI_capture_1	-0.039158040202368703	0.073262904736797099
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.0406965344118385	0.0143007694719342	-0.026395764939904202	0.1543245036645409	0.098556151984200702	new39	independent_observation	primary39_two_types	all37	V37	B15	NI_capture_1	-0.055768351680340202	0.088234851178109502
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.0254142501042409	0.016843103043104199	-0.0085711470611366993	0.1217615316988655	0.094304298554991298	new39	independent_observation	primary39_two_types	all37	V38	B15	NI_capture_1	-0.027457233143874101	0.063908812505603305
original8	0	1	2	mean_of_scored_seeds			scGen	TW	0.014689650738591801	0.0171003576282268	0.0024107068896350001	0.097166102333447094	0.1091282249563969	new39	independent_observation	primary39_two_types	all37	V39	B15	NI_capture_2	0.011962122622949699	0.079912571120499001
cap48	0	1	1	mean_of_scored_seeds	0	ROOT_01	scGen	PCA	0.0066128363969349003	0.0103417630037216	0.0037289266067866002	0.064087185768860799	0.079302041474796303	original8								
cap48	0	1	1	mean_of_scored_seeds	1	ROOT_02	scGen	RBF	0.0098987729648467998	0.0109042685367228	0.001005495571876	0.079059159403513296	0.082246317290081097	original8								
cap48	0	1	1	mean_of_scored_seeds	2	ROOT_03	scGen	RBF	0.0073590522050267998	0.0094103665100786996	0.0020513143050518998	0.069315192910210002	0.080085528843788098	original8								
cap48	0	1	1	mean_of_scored_seeds	3	ROOT_04	scGen	PCA	0.0094278517102944007	0.0134552590913857	0.0040274073810913002	0.074536739060567306	0.090785787687489905	original8								
cap48	0	1	1	mean_of_scored_seeds	4	ROOT_05	scGen	RBF	0.0069631630847760998	0.0095046589284995993	0.0025414958437234001	0.069675033307196002	0.079688206553274701	original8								
cap48	0	1	1	mean_of_scored_seeds	5	ROOT_06	scGen	PCA	0.0085679736329487	0.0094571873985932996	0.00088921376564460005	0.073749787129693101	0.075171619468905396	original8								
cap48	0	1	1	mean_of_scored_seeds	6	ROOT_07	scGen	PCA	0.017604438482370002	0.027665329700160501	0.0100608912177905	0.095382015370892595	0.1256524374112668	original8								
cap48	0	1	1	mean_of_scored_seeds	7	ROOT_08	scGen	PCA	0.0066617174393251996	0.0103535880437734	0.0036918706044481	0.066033147568730605	0.083378109675609394	original8								
