regime	policy	root_index	family	utility
original8	S	0	NC	-0.3003647506436976
original8	S	0	CM	-0.2518870662751627
original8	S	0	TW	-0.24890083088933948
original8	S	0	PCA	-0.24954353596233073
original8	S	0	RBF	-0.2497582345344264
original8	S	0	scGen	-0.1361148106830851
original8	S	0	CPA	-0.4550304765571624
original8	S	0	CellOT	-0.1439175752347427
original8	S	1	NC	-0.3246196933953161
original8	S	1	CM	-0.23007648480075216
original8	S	1	TW	-0.2305769263653219
original8	S	1	PCA	-0.22920030357008844
original8	S	1	RBF	-0.23022706212233
original8	S	1	scGen	-0.12469212653044916
original8	S	1	CPA	-0.35131324537166186
original8	S	1	CellOT	-0.13025654451343893
original8	S	2	NC	-0.3057557804442886
original8	S	2	CM	-0.2211129199722078
original8	S	2	TW	-0.22103264331060982
original8	S	2	PCA	-0.2198651044704101
original8	S	2	RBF	-0.2208709004661634
original8	S	2	scGen	-0.11719371212023362
original8	S	2	CPA	-0.3470936376187887
original8	S	2	CellOT	-0.12380305006395405
original8	S	3	NC	-0.2861264156785637
original8	S	3	CM	-0.22704278981602755
original8	S	3	TW	-0.22535628716301082
original8	S	3	PCA	-0.22593730247801927
original8	S	3	RBF	-0.22572548143742396
original8	S	3	scGen	-0.12046688377057517
original8	S	3	CPA	-0.3700279252413496
original8	S	3	CellOT	-0.12806933508650178
original8	S	4	NC	-0.3057407653779721
original8	S	4	CM	-0.22958436798727275
original8	S	4	TW	-0.22954004232602307
original8	S	4	PCA	-0.22830784489620817
original8	S	4	RBF	-0.22931374892894188
original8	S	4	scGen	-0.12147666286220336
original8	S	4	CPA	-0.37383009400771644
original8	S	4	CellOT	-0.12647835654146775
original8	S	5	NC	-0.3025338767210602
original8	S	5	CM	-0.23992112746118519
original8	S	5	TW	-0.2378993170285816
original8	S	5	PCA	-0.23870644791028225
original8	S	5	RBF	-0.23843088710502527
original8	S	5	scGen	-0.12796145490791913
original8	S	5	CPA	-0.4021002534083397
original8	S	5	CellOT	-0.13507562617962518
original8	S	6	NC	-0.2756270580139184
original8	S	6	CM	-0.2822732368813582
original8	S	6	TW	-0.27647575892638293
original8	S	6	PCA	-0.2801102833351388
original8	S	6	RBF	-0.2782020111907162
original8	S	6	scGen	-0.1758669666973117
original8	S	6	CPA	-0.5151493269837265
original8	S	6	CellOT	-0.17401123039117183
original8	S	7	NC	-0.30624202956919394
original8	S	7	CM	-0.24547558799672867
original8	S	7	TW	-0.24494343666191623
original8	S	7	PCA	-0.24405375402792776
original8	S	7	RBF	-0.24483404776573345
original8	S	7	scGen	-0.12945231571089114
original8	S	7	CPA	-0.42470429985445324
original8	S	7	CellOT	-0.13404903118222466
original8	O	0	NC	-0.3003647506436976
original8	O	0	CM	-0.2518870662751627
original8	O	0	TW	-0.24890083088933948
original8	O	0	PCA	-0.24954353596233073
original8	O	0	RBF	-0.2497582345344264
original8	O	0	scGen	-0.3742626081486418
original8	O	0	CPA	-0.6950004522929039
original8	O	0	CellOT	-0.38000601432949765
original8	O	1	NC	-0.3246196933953161
original8	O	1	CM	-0.23007648480075216
original8	O	1	TW	-0.2305769263653219
original8	O	1	PCA	-0.22920030357008844
original8	O	1	RBF	-0.23022706212233
original8	O	1	scGen	-0.34664823974223796
original8	O	1	CPA	-0.5746604978441826
original8	O	1	CellOT	-0.34979020300053604
original8	O	2	NC	-0.3057557804442885
original8	O	2	CM	-0.2211129199722078
original8	O	2	TW	-0.22103264331060982
original8	O	2	PCA	-0.21986510447041005
original8	O	2	RBF	-0.2208709004661634
original8	O	2	scGen	-0.32981919641061425
original8	O	2	CPA	-0.562136249001806
original8	O	2	CellOT	-0.33481207860994705
original8	O	3	NC	-0.2861264156785637
original8	O	3	CM	-0.22704278981602755
original8	O	3	TW	-0.22535628716301082
original8	O	3	PCA	-0.22593730247801927
original8	O	3	RBF	-0.22572548143742396
original8	O	3	scGen	-0.3328441733711531
original8	O	3	CPA	-0.5844430028480282
original8	O	3	CellOT	-0.3383551653529325
original8	O	4	NC	-0.3057407653779722
original8	O	4	CM	-0.22958436798727275
original8	O	4	TW	-0.22954004232602307
original8	O	4	PCA	-0.22830784489620817
original8	O	4	RBF	-0.22931374892894188
original8	O	4	scGen	-0.34064372521216685
original8	O	4	CPA	-0.594366755011785
original8	O	4	CellOT	-0.3437124642115041
original8	O	5	NC	-0.3025338767210602
original8	O	5	CM	-0.23992112746118519
original8	O	5	TW	-0.2378993170285816
original8	O	5	PCA	-0.23870644791028225
original8	O	5	RBF	-0.23843088710502527
original8	O	5	scGen	-0.3620346515052659
original8	O	5	CPA	-0.6373892699224647
original8	O	5	CellOT	-0.3672037338829941
original8	O	6	NC	-0.2756270580139184
original8	O	6	CM	-0.28227323688135814
original8	O	6	TW	-0.276475758926383
original8	O	6	PCA	-0.2801102833351388
original8	O	6	RBF	-0.2782020111907162
original8	O	6	scGen	-0.42934029258962764
original8	O	6	CPA	-0.7705663093875526
original8	O	6	CellOT	-0.4256432293654288
original8	O	7	NC	-0.30624202956919394
original8	O	7	CM	-0.24547558799672867
original8	O	7	TW	-0.24494343666191623
original8	O	7	PCA	-0.24405375402792776
original8	O	7	RBF	-0.24483404776573345
original8	O	7	scGen	-0.361881189163837
original8	O	7	CPA	-0.6589822587759189
original8	O	7	CellOT	-0.36431042087321425
original8	D	0	NC	-0.3003647506436976
original8	D	0	CM	-0.2518870662751627
original8	D	0	TW	-0.24890083088933948
original8	D	0	PCA	-0.24954353596233073
original8	D	0	RBF	-0.2497582345344264
original8	D	0	scGen	-0.38074117765703086
original8	D	0	CPA	-0.6996568435564668
original8	D	0	CellOT	-0.38854394220825234
original8	D	1	NC	-0.3246196933953161
original8	D	1	CM	-0.23007648480075216
original8	D	1	TW	-0.2305769263653219
original8	D	1	PCA	-0.22920030357008844
original8	D	1	RBF	-0.23022706212233
original8	D	1	scGen	-0.352484768594521
original8	D	1	CPA	-0.5791058873938976
original8	D	1	CellOT	-0.35804918657518314
original8	D	2	NC	-0.3057557804442885
original8	D	2	CM	-0.2211129199722078
original8	D	2	TW	-0.22103264331060982
original8	D	2	PCA	-0.21986510447041005
original8	D	2	RBF	-0.2208709004661634
original8	D	2	scGen	-0.33633336710124134
original8	D	2	CPA	-0.566233292508057
original8	D	2	CellOT	-0.3429427050434944
original8	D	3	NC	-0.2861264156785637
original8	D	3	CM	-0.22704278981602755
original8	D	3	TW	-0.22535628716301082
