case_id	resource	model	fits	operation	prediction_action	prediction_effect_action	observed_target_action	comparison_scope	requires_score_recompute	action_max_abs_error	change_native_prediction	change_prediction	change_target	change_residual	change_metric_prediction	change_scores
Norman_0_input_replacement	Norman	selected_CPA	1	input_replacement	load_or_generate_for_new_input	recentre	preserve	same_declared_quantity	True	0.0	0.2577405399642885	0.2577405399642885	0.0	0.2577405399642885	0.2577405399642885	0.014758814481700688
Norman_0_paired_input_effect	Norman	selected_CPA	1	paired_input_effect	load_or_generate_for_new_input	recentre	preserve	new_prediction_effect	True	0.0	0.2577405399642885	0.2664706511422992	0.0	0.2664706511422992	0.2664706511422992	0.3053997742896247
Norman_0_prediction_baseline	Norman	selected_CPA	1	prediction_baseline	reuse	recentre	preserve	new_prediction_effect	True	0.0	0.0	0.29266056464985013	0.0	0.29266056464985013	0.29266056464985013	0.04871254244947021
Norman_0_observation_baseline	Norman	selected_CPA	1	observation_baseline	reuse	preserve	rebuild	new_observed_realization	True	0.0	0.0	0.0	0.27771419286727905	0.27771419286727905	0.27771419286727905	0.03163966869990276
Norman_0_common_scoring_reference	Norman	selected_CPA	1	common_scoring_reference	reuse	recentre	rebuild	new_observed_realization	True	0.0	0.0	0.29071326460689306	0.29071326460689306	2.7755575615628914e-17	0.0	0.0
Norman_0_same_target_storage_encoding	Norman	selected_CPA	1	same_target_storage_encoding	reuse	preserve	preserve	same_declared_quantity	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Norman_0_task_switch	Norman	selected_CPA	1	task_switch	reuse	unused	rebuild	new_task	True	0.0	0.0	4.659544084221125	4.589129593223333	0.29071326460689306	0.29071326460689306	0.2718169266172159
Norman_1_input_replacement	Norman	original_CPA_fixed	1	input_replacement	reuse	preserve	preserve	same_declared_quantity	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Norman_1_paired_input_effect	Norman	original_CPA_fixed	1	paired_input_effect	reuse	recentre	preserve	new_prediction_effect	True	0.0	0.0	0.29071326460689306	0.0	0.29071326460689306	0.29071326460689306	0.30482657793783613
Norman_1_prediction_baseline	Norman	original_CPA_fixed	1	prediction_baseline	reuse	recentre	preserve	new_prediction_effect	True	0.0	0.0	0.29266056464985013	0.0	0.29266056464985013	0.29266056464985013	0.03295759080844146
Norman_1_observation_baseline	Norman	original_CPA_fixed	1	observation_baseline	reuse	preserve	rebuild	new_observed_realization	True	0.0	0.0	0.0	0.27771419286727905	0.27771419286727905	0.27771419286727905	0.0244466061745387
Norman_1_common_scoring_reference	Norman	original_CPA_fixed	1	common_scoring_reference	reuse	recentre	rebuild	new_observed_realization	True	0.0	0.0	0.29071326460689306	0.29071326460689306	2.7755575615628914e-17	0.0	0.0
Norman_1_same_target_storage_encoding	Norman	original_CPA_fixed	1	same_target_storage_encoding	reuse	preserve	preserve	same_declared_quantity	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Norman_1_task_switch	Norman	original_CPA_fixed	1	task_switch	reuse	unused	rebuild	new_task	True	0.0	0.0	4.659544084221125	4.589129593223333	0.29071326460689306	0.29071326460689306	0.30482657793783613
Norman_2_input_replacement	Norman	additive	1	input_replacement	reuse	preserve	preserve	same_declared_quantity	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Norman_2_paired_input_effect	Norman	additive	1	paired_input_effect	reuse	recentre	preserve	new_prediction_effect	True	0.0	0.0	0.29071326460689306	0.0	0.29071326460689306	0.29071326460689306	0.16698039896390449
Norman_2_prediction_baseline	Norman	additive	1	prediction_baseline	reuse	recentre	preserve	new_prediction_effect	True	0.0	0.0	0.29266056464985013	0.0	0.29266056464985013	0.29266056464985013	0.006473157860409251
Norman_2_observation_baseline	Norman	additive	1	observation_baseline	reuse	preserve	rebuild	new_observed_realization	True	0.0	0.0	0.0	0.27771419286727905	0.27771419286727905	0.27771419286727905	0.015768526195140686
