depth	role	model	metric	gap	taskmean_values	positive	negative	within
8	Cobs	selected_CPA	standardized_MSE	0.0	1620	810	810	0
8	Cobs	selected_CPA	standardized_MSE	0.005	1620	706	706	208
8	Cobs	selected_CPA	standardized_MSE	0.01	1620	628	628	364
8	Cobs	selected_CPA	standardized_MSE	0.02	1620	474	474	672
8	Cobs	selected_CPA	raw_RMSE	0.0	1620	810	810	0
8	Cobs	selected_CPA	raw_RMSE	0.005	1620	667	667	286
8	Cobs	selected_CPA	raw_RMSE	0.01	1620	563	563	494
8	Cobs	selected_CPA	raw_RMSE	0.02	1620	385	385	850
8	Cobs	selected_CPA	perturbation_centred_Pearson	0.0	1620	810	810	0
8	Cobs	selected_CPA	perturbation_centred_Pearson	0.005	1620	767	767	86
8	Cobs	selected_CPA	perturbation_centred_Pearson	0.01	1620	691	691	238
8	Cobs	selected_CPA	perturbation_centred_Pearson	0.02	1620	580	580	460
8	Cobs	selected_CPA	centroid_accuracy	0.0	1620	793	793	34
8	Cobs	selected_CPA	centroid_accuracy	0.005	1620	477	477	666
8	Cobs	selected_CPA	centroid_accuracy	0.01	1620	217	217	1186
8	Cobs	selected_CPA	centroid_accuracy	0.02	1620	8	8	1604
8	Cobs	original_CPA_fixed	standardized_MSE	0.0	1620	810	810	0
8	Cobs	original_CPA_fixed	standardized_MSE	0.005	1620	720	720	180
8	Cobs	original_CPA_fixed	standardized_MSE	0.01	1620	657	657	306
8	Cobs	original_CPA_fixed	standardized_MSE	0.02	1620	453	453	714
8	Cobs	original_CPA_fixed	raw_RMSE	0.0	1620	810	810	0
8	Cobs	original_CPA_fixed	raw_RMSE	0.005	1620	687	687	246
8	Cobs	original_CPA_fixed	raw_RMSE	0.01	1620	582	582	456
8	Cobs	original_CPA_fixed	raw_RMSE	0.02	1620	327	327	966
8	Cobs	original_CPA_fixed	perturbation_centred_Pearson	0.0	1620	810	810	0
8	Cobs	original_CPA_fixed	perturbation_centred_Pearson	0.005	1620	765	765	90
8	Cobs	original_CPA_fixed	perturbation_centred_Pearson	0.01	1620	705	705	210
8	Cobs	original_CPA_fixed	perturbation_centred_Pearson	0.02	1620	576	576	468
8	Cobs	original_CPA_fixed	centroid_accuracy	0.0	1620	774	774	72
8	Cobs	original_CPA_fixed	centroid_accuracy	0.005	1620	192	192	1236
8	Cobs	original_CPA_fixed	centroid_accuracy	0.01	1620	21	21	1578
8	Cobs	original_CPA_fixed	centroid_accuracy	0.02	1620	0	0	1620
8	Cobs	additive	standardized_MSE	0.0	1620	810	810	0
8	Cobs	additive	standardized_MSE	0.005	1620	561	561	498
8	Cobs	additive	standardized_MSE	0.01	1620	543	543	534
8	Cobs	additive	standardized_MSE	0.02	1620	540	540	540
8	Cobs	additive	raw_RMSE	0.0	1620	810	810	0
8	Cobs	additive	raw_RMSE	0.005	1620	561	561	498
8	Cobs	additive	raw_RMSE	0.01	1620	543	543	534
8	Cobs	additive	raw_RMSE	0.02	1620	540	540	540
8	Cobs	additive	perturbation_centred_Pearson	0.0	1620	810	810	0
8	Cobs	additive	perturbation_centred_Pearson	0.005	1620	702	702	216
8	Cobs	additive	perturbation_centred_Pearson	0.01	1620	585	585	450
8	Cobs	additive	perturbation_centred_Pearson	0.02	1620	540	540	540
8	Cobs	additive	centroid_accuracy	0.0	1620	783	783	54
8	Cobs	additive	centroid_accuracy	0.005	1620	303	303	1014
8	Cobs	additive	centroid_accuracy	0.01	1620	87	87	1446
8	Cobs	additive	centroid_accuracy	0.02	1620	3	3	1614
8	Cobs	compositional_ridge	standardized_MSE	0.0	1620	810	810	0
8	Cobs	compositional_ridge	standardized_MSE	0.005	1620	576	576	468
8	Cobs	compositional_ridge	standardized_MSE	0.01	1620	540	540	540
8	Cobs	compositional_ridge	standardized_MSE	0.02	1620	540	540	540
8	Cobs	compositional_ridge	raw_RMSE	0.0	1620	810	810	0
8	Cobs	compositional_ridge	raw_RMSE	0.005	1620	564	564	492
8	Cobs	compositional_ridge	raw_RMSE	0.01	1620	540	540	540
8	Cobs	compositional_ridge	raw_RMSE	0.02	1620	540	540	540
8	Cobs	compositional_ridge	perturbation_centred_Pearson	0.0	1620	810	810	0
8	Cobs	compositional_ridge	perturbation_centred_Pearson	0.005	1620	747	747	126
8	Cobs	compositional_ridge	perturbation_centred_Pearson	0.01	1620	702	702	216
8	Cobs	compositional_ridge	perturbation_centred_Pearson	0.02	1620	609	609	402
8	Cobs	compositional_ridge	centroid_accuracy	0.0	1620	804	804	12
8	Cobs	compositional_ridge	centroid_accuracy	0.005	1620	639	639	342
8	Cobs	compositional_ridge	centroid_accuracy	0.01	1620	462	462	696
8	Cobs	compositional_ridge	centroid_accuracy	0.02	1620	234	234	1152
8	Cobs	NC_native_effect	standardized_MSE	0.0	1620	810	810	0
8	Cobs	NC_native_effect	standardized_MSE	0.005	1620	549	549	522
8	Cobs	NC_native_effect	standardized_MSE	0.01	1620	405	405	810
8	Cobs	NC_native_effect	standardized_MSE	0.02	1620	81	81	1458
8	Cobs	NC_native_effect	raw_RMSE	0.0	1620	810	810	0
8	Cobs	NC_native_effect	raw_RMSE	0.005	1620	423	423	774
8	Cobs	NC_native_effect	raw_RMSE	0.01	1620	153	153	1314
8	Cobs	NC_native_effect	raw_RMSE	0.02	1620	0	0	1620
8	Cobs	NC_native_effect	perturbation_centred_Pearson	0.0	1620	810	810	0
8	Cobs	NC_native_effect	perturbation_centred_Pearson	0.005	1620	594	594	432
8	Cobs	NC_native_effect	perturbation_centred_Pearson	0.01	1620	405	405	810
8	Cobs	NC_native_effect	perturbation_centred_Pearson	0.02	1620	126	126	1368
8	Cobs	NC_native_effect	centroid_accuracy	0.0	1620	0	0	1620
8	Cobs	NC_native_effect	centroid_accuracy	0.005	1620	0	0	1620
8	Cobs	NC_native_effect	centroid_accuracy	0.01	1620	0	0	1620
8	Cobs	NC_native_effect	centroid_accuracy	0.02	1620	0	0	1620
8	Cobs	native_effect_ridge	standardized_MSE	0.0	1620	810	810	0
8	Cobs	native_effect_ridge	standardized_MSE	0.005	1620	9	9	1602
8	Cobs	native_effect_ridge	standardized_MSE	0.01	1620	0	0	1620
8	Cobs	native_effect_ridge	standardized_MSE	0.02	1620	0	0	1620
8	Cobs	native_effect_ridge	raw_RMSE	0.0	1620	810	810	0
8	Cobs	native_effect_ridge	raw_RMSE	0.005	1620	36	36	1548
8	Cobs	native_effect_ridge	raw_RMSE	0.01	1620	0	0	1620
8	Cobs	native_effect_ridge	raw_RMSE	0.02	1620	0	0	1620
8	Cobs	native_effect_ridge	perturbation_centred_Pearson	0.0	1620	810	810	0
8	Cobs	native_effect_ridge	perturbation_centred_Pearson	0.005	1620	459	459	702
8	Cobs	native_effect_ridge	perturbation_centred_Pearson	0.01	1620	243	243	1134
8	Cobs	native_effect_ridge	perturbation_centred_Pearson	0.02	1620	18	18	1584
8	Cobs	native_effect_ridge	centroid_accuracy	0.0	1620	765	765	90
8	Cobs	native_effect_ridge	centroid_accuracy	0.005	1620	153	153	1314
8	Cobs	native_effect_ridge	centroid_accuracy	0.01	1620	18	18	1584
8	Cobs	native_effect_ridge	centroid_accuracy	0.02	1620	0	0	1620
8	Cpred	selected_CPA	standardized_MSE	0.0	1620	810	810	0
8	Cpred	selected_CPA	standardized_MSE	0.005	1620	704	704	212
8	Cpred	selected_CPA	standardized_MSE	0.01	1620	631	631	358
8	Cpred	selected_CPA	standardized_MSE	0.02	1620	477	477	666
8	Cpred	selected_CPA	raw_RMSE	0.0	1620	810	810	0
8	Cpred	selected_CPA	raw_RMSE	0.005	1620	668	668	284
8	Cpred	selected_CPA	raw_RMSE	0.01	1620	573	573	474
8	Cpred	selected_CPA	raw_RMSE	0.02	1620	387	387	846
8	Cpred	selected_CPA	perturbation_centred_Pearson	0.0	1620	810	810	0
8	Cpred	selected_CPA	perturbation_centred_Pearson	0.005	1620	759	759	102
8	Cpred	selected_CPA	perturbation_centred_Pearson	0.01	1620	691	691	238
8	Cpred	selected_CPA	perturbation_centred_Pearson	0.02	1620	583	583	454
8	Cpred	selected_CPA	centroid_accuracy	0.0	1620	795	795	30
8	Cpred	selected_CPA	centroid_accuracy	0.005	1620	466	466	688
