depth	role_pair	model	metric	gap	taskmean_values	positive	negative	within
8	Cobs:Cpred	selected_CPA	standardized_MSE	0.0	3240	1620	1620	0
8	Cobs:Cpred	selected_CPA	standardized_MSE	0.005	3240	1620	1620	0
8	Cobs:Cpred	selected_CPA	standardized_MSE	0.01	3240	1620	1620	0
8	Cobs:Cpred	selected_CPA	standardized_MSE	0.02	3240	1620	1620	0
8	Cobs:Cpred	selected_CPA	raw_RMSE	0.0	3240	1620	1620	0
8	Cobs:Cpred	selected_CPA	raw_RMSE	0.005	3240	1620	1620	0
8	Cobs:Cpred	selected_CPA	raw_RMSE	0.01	3240	1620	1620	0
8	Cobs:Cpred	selected_CPA	raw_RMSE	0.02	3240	1582	1582	76
8	Cobs:Cpred	selected_CPA	perturbation_centred_Pearson	0.0	3240	1620	1620	0
8	Cobs:Cpred	selected_CPA	perturbation_centred_Pearson	0.005	3240	1612	1612	16
8	Cobs:Cpred	selected_CPA	perturbation_centred_Pearson	0.01	3240	1600	1600	40
8	Cobs:Cpred	selected_CPA	perturbation_centred_Pearson	0.02	3240	1510	1510	220
8	Cobs:Cpred	selected_CPA	centroid_accuracy	0.0	3240	1550	1550	140
8	Cobs:Cpred	selected_CPA	centroid_accuracy	0.005	3240	254	254	2732
8	Cobs:Cpred	selected_CPA	centroid_accuracy	0.01	3240	16	16	3208
8	Cobs:Cpred	selected_CPA	centroid_accuracy	0.02	3240	0	0	3240
8	Cobs:Cpred	original_CPA_fixed	standardized_MSE	0.0	3240	1620	1620	0
8	Cobs:Cpred	original_CPA_fixed	standardized_MSE	0.005	3240	1620	1620	0
8	Cobs:Cpred	original_CPA_fixed	standardized_MSE	0.01	3240	1620	1620	0
8	Cobs:Cpred	original_CPA_fixed	standardized_MSE	0.02	3240	1620	1620	0
8	Cobs:Cpred	original_CPA_fixed	raw_RMSE	0.0	3240	1620	1620	0
8	Cobs:Cpred	original_CPA_fixed	raw_RMSE	0.005	3240	1620	1620	0
8	Cobs:Cpred	original_CPA_fixed	raw_RMSE	0.01	3240	1620	1620	0
8	Cobs:Cpred	original_CPA_fixed	raw_RMSE	0.02	3240	1548	1548	144
8	Cobs:Cpred	original_CPA_fixed	perturbation_centred_Pearson	0.0	3240	1620	1620	0
8	Cobs:Cpred	original_CPA_fixed	perturbation_centred_Pearson	0.005	3240	1620	1620	0
8	Cobs:Cpred	original_CPA_fixed	perturbation_centred_Pearson	0.01	3240	1620	1620	0
8	Cobs:Cpred	original_CPA_fixed	perturbation_centred_Pearson	0.02	3240	1620	1620	0
8	Cobs:Cpred	original_CPA_fixed	centroid_accuracy	0.0	3240	1530	1530	180
8	Cobs:Cpred	original_CPA_fixed	centroid_accuracy	0.005	3240	132	132	2976
8	Cobs:Cpred	original_CPA_fixed	centroid_accuracy	0.01	3240	12	12	3216
8	Cobs:Cpred	original_CPA_fixed	centroid_accuracy	0.02	3240	0	0	3240
8	Cobs:Cpred	additive	standardized_MSE	0.0	3240	1620	1620	0
8	Cobs:Cpred	additive	standardized_MSE	0.005	3240	1620	1620	0
8	Cobs:Cpred	additive	standardized_MSE	0.01	3240	1620	1620	0
8	Cobs:Cpred	additive	standardized_MSE	0.02	3240	1620	1620	0
8	Cobs:Cpred	additive	raw_RMSE	0.0	3240	1620	1620	0
8	Cobs:Cpred	additive	raw_RMSE	0.005	3240	1620	1620	0
8	Cobs:Cpred	additive	raw_RMSE	0.01	3240	1620	1620	0
8	Cobs:Cpred	additive	raw_RMSE	0.02	3240	1620	1620	0
8	Cobs:Cpred	additive	perturbation_centred_Pearson	0.0	3240	1620	1620	0
8	Cobs:Cpred	additive	perturbation_centred_Pearson	0.005	3240	1620	1620	0
8	Cobs:Cpred	additive	perturbation_centred_Pearson	0.01	3240	1620	1620	0
8	Cobs:Cpred	additive	perturbation_centred_Pearson	0.02	3240	1620	1620	0
8	Cobs:Cpred	additive	centroid_accuracy	0.0	3240	1536	1536	168
8	Cobs:Cpred	additive	centroid_accuracy	0.005	3240	384	384	2472
8	Cobs:Cpred	additive	centroid_accuracy	0.01	3240	120	120	3000
8	Cobs:Cpred	additive	centroid_accuracy	0.02	3240	0	0	3240
8	Cobs:Cpred	compositional_ridge	standardized_MSE	0.0	3240	1620	1620	0
8	Cobs:Cpred	compositional_ridge	standardized_MSE	0.005	3240	1620	1620	0
8	Cobs:Cpred	compositional_ridge	standardized_MSE	0.01	3240	1620	1620	0
8	Cobs:Cpred	compositional_ridge	standardized_MSE	0.02	3240	1620	1620	0
8	Cobs:Cpred	compositional_ridge	raw_RMSE	0.0	3240	1620	1620	0
8	Cobs:Cpred	compositional_ridge	raw_RMSE	0.005	3240	1620	1620	0
8	Cobs:Cpred	compositional_ridge	raw_RMSE	0.01	3240	1620	1620	0
8	Cobs:Cpred	compositional_ridge	raw_RMSE	0.02	3240	1620	1620	0
8	Cobs:Cpred	compositional_ridge	perturbation_centred_Pearson	0.0	3240	1620	1620	0
8	Cobs:Cpred	compositional_ridge	perturbation_centred_Pearson	0.005	3240	1620	1620	0
8	Cobs:Cpred	compositional_ridge	perturbation_centred_Pearson	0.01	3240	1620	1620	0
8	Cobs:Cpred	compositional_ridge	perturbation_centred_Pearson	0.02	3240	1620	1620	0
8	Cobs:Cpred	compositional_ridge	centroid_accuracy	0.0	3240	1584	1584	72
8	Cobs:Cpred	compositional_ridge	centroid_accuracy	0.005	3240	852	852	1536
8	Cobs:Cpred	compositional_ridge	centroid_accuracy	0.01	3240	462	462	2316
8	Cobs:Cpred	compositional_ridge	centroid_accuracy	0.02	3240	168	168	2904
8	Cobs:Cpred	NC_native_effect	standardized_MSE	0.0	3240	0	0	3240
8	Cobs:Cpred	NC_native_effect	standardized_MSE	0.005	3240	0	0	3240
8	Cobs:Cpred	NC_native_effect	standardized_MSE	0.01	3240	0	0	3240
8	Cobs:Cpred	NC_native_effect	standardized_MSE	0.02	3240	0	0	3240
8	Cobs:Cpred	NC_native_effect	raw_RMSE	0.0	3240	0	0	3240
8	Cobs:Cpred	NC_native_effect	raw_RMSE	0.005	3240	0	0	3240
8	Cobs:Cpred	NC_native_effect	raw_RMSE	0.01	3240	0	0	3240
8	Cobs:Cpred	NC_native_effect	raw_RMSE	0.02	3240	0	0	3240
8	Cobs:Cpred	NC_native_effect	perturbation_centred_Pearson	0.0	3240	0	0	3240
8	Cobs:Cpred	NC_native_effect	perturbation_centred_Pearson	0.005	3240	0	0	3240
8	Cobs:Cpred	NC_native_effect	perturbation_centred_Pearson	0.01	3240	0	0	3240
8	Cobs:Cpred	NC_native_effect	perturbation_centred_Pearson	0.02	3240	0	0	3240
8	Cobs:Cpred	NC_native_effect	centroid_accuracy	0.0	3240	0	0	3240
8	Cobs:Cpred	NC_native_effect	centroid_accuracy	0.005	3240	0	0	3240
8	Cobs:Cpred	NC_native_effect	centroid_accuracy	0.01	3240	0	0	3240
8	Cobs:Cpred	NC_native_effect	centroid_accuracy	0.02	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	standardized_MSE	0.0	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	standardized_MSE	0.005	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	standardized_MSE	0.01	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	standardized_MSE	0.02	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	raw_RMSE	0.0	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	raw_RMSE	0.005	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	raw_RMSE	0.01	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	raw_RMSE	0.02	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	perturbation_centred_Pearson	0.0	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	perturbation_centred_Pearson	0.005	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	perturbation_centred_Pearson	0.01	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	perturbation_centred_Pearson	0.02	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	centroid_accuracy	0.0	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	centroid_accuracy	0.005	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	centroid_accuracy	0.01	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	centroid_accuracy	0.02	3240	0	0	3240
8	Cobs:Cmodel	selected_CPA	standardized_MSE	0.0	3240	1620	1620	0
8	Cobs:Cmodel	selected_CPA	standardized_MSE	0.005	3240	528	528	2184
8	Cobs:Cmodel	selected_CPA	standardized_MSE	0.01	3240	84	84	3072
8	Cobs:Cmodel	selected_CPA	standardized_MSE	0.02	3240	0	0	3240
8	Cobs:Cmodel	selected_CPA	raw_RMSE	0.0	3240	1620	1620	0
8	Cobs:Cmodel	selected_CPA	raw_RMSE	0.005	3240	250	250	2740
8	Cobs:Cmodel	selected_CPA	raw_RMSE	0.01	3240	30	30	3180
