role	depth	model	model_kind	metric	metric_direction	task_count	allocation_count	directed_contrasts_per_allocation	total_task_mean_contrasts	mean_abs_task_score_change	minimum_task_mean_change	maximum_task_mean_change	mean_abs_task_mean_change	gap_0_positive_count	gap_0_negative_count	gap_0_within_count	gap_0p005_positive_count	gap_0p005_negative_count	gap_0p005_within_count	gap_0p01_positive_count	gap_0p01_negative_count	gap_0p01_within_count	gap_0p02_positive_count	gap_0p02_negative_count	gap_0p02_within_count
Cobs	8	selected_CPA	state	standardized_MSE	lower	55	30	54	1620	0.02376735807569269	-0.06759071969973207	0.06759071969973207	0.02342913376077086	810	810	0	706	706	208	628	628	364	474	474	672
Cobs	8	selected_CPA	state	raw_RMSE	lower	55	30	54	1620	0.0181029880238017	-0.04497140222770644	0.04497140222770644	0.01780946240539148	810	810	0	667	667	286	563	563	494	385	385	850
Cobs	8	selected_CPA	state	perturbation_centred_Pearson	higher	55	30	54	1620	0.09852633539585187	-0.1547450576613754	0.1547450576613754	0.04073647915777606	810	810	0	767	767	86	691	691	238	580	580	460
Cobs	8	selected_CPA	state	centroid_accuracy	higher	55	30	54	1620	0.02319075528950965	-0.03097643097643097	0.03097643097643097	0.006821299413891996	793	793	34	477	477	666	217	217	1186	8	8	1604
Cobs	8	original_CPA_fixed	state	standardized_MSE	lower	55	30	54	1620	0.02403702020153231	-0.0632869491822344	0.0632869491822344	0.02377309550244901	810	810	0	720	720	180	657	657	306	453	453	714
Cobs	8	original_CPA_fixed	state	raw_RMSE	lower	55	30	54	1620	0.01707744240809246	-0.04195924167652477	0.04195924167652477	0.0168569131368711	810	810	0	687	687	246	582	582	456	327	327	966
Cobs	8	original_CPA_fixed	state	perturbation_centred_Pearson	higher	55	30	54	1620	0.1167408105512583	-0.108263901291421	0.108263901291421	0.03558221785462728	810	810	0	765	765	90	705	705	210	576	576	468
Cobs	8	original_CPA_fixed	state	centroid_accuracy	higher	55	30	54	1620	0.01656316248907725	-0.01582491582491582	0.01582491582491582	0.003347050754458184	774	774	72	192	192	1236	21	21	1578	0	0	1620
Cobs	8	additive	state	standardized_MSE	lower	55	30	54	1620	0.0218759871459678	-0.0419440516015681	0.0419440516015681	0.02128041460017399	810	810	0	561	561	498	543	543	534	540	540	540
Cobs	8	additive	state	raw_RMSE	lower	55	30	54	1620	0.02455693937312525	-0.04504029522189618	0.04504029522189618	0.02403222655248598	810	810	0	561	561	498	543	543	534	540	540	540
Cobs	8	additive	state	perturbation_centred_Pearson	higher	55	30	54	1620	0.1131578414666086	-0.1839317295560582	0.1839317295560582	0.1089981588342008	810	810	0	702	702	216	585	585	450	540	540	540
Cobs	8	additive	state	centroid_accuracy	higher	55	30	54	1620	0.007379972565157178	-0.02491582491582492	0.02491582491582492	0.004459408903853361	783	783	54	303	303	1014	87	87	1446	3	3	1614
Cobs	8	compositional_ridge	state	standardized_MSE	lower	55	30	54	1620	0.02195620564705542	-0.04172430353268021	0.04172430353268021	0.02142186121084463	810	810	0	576	576	468	540	540	540	540	540	540
Cobs	8	compositional_ridge	state	raw_RMSE	lower	55	30	54	1620	0.02551093003488629	-0.04564382631980192	0.04564382631980192	0.0249803389042955	810	810	0	564	564	492	540	540	540	540	540	540
Cobs	8	compositional_ridge	state	perturbation_centred_Pearson	higher	55	30	54	1620	0.1876414726883648	-0.3228347367939337	0.3228347367939337	0.1819507573509973	810	810	0	747	747	126	702	702	216	609	609	402
Cobs	8	compositional_ridge	state	centroid_accuracy	higher	55	30	54	1620	0.02753211123581615	-0.07407407407407407	0.07407407407407407	0.01526624267365009	804	804	12	639	639	342	462	462	696	234	234	1152
Cobs	8	NC_native_effect	native_effect	standardized_MSE	lower	55	30	54	1620	0.01048691632638109	-0.02985213312722525	0.02985213312722525	0.01007938250113121	810	810	0	549	549	522	405	405	810	81	81	1458
Cobs	8	NC_native_effect	native_effect	raw_RMSE	lower	55	30	54	1620	0.00670521531865565	-0.01920501660693724	0.01920501660693724	0.006306934002822248	810	810	0	423	423	774	153	153	1314	0	0	1620
Cobs	8	NC_native_effect	native_effect	perturbation_centred_Pearson	higher	55	30	54	1620	0.03900879806638882	-0.03825403434030806	0.03825403434030806	0.01190041506681229	810	810	0	594	594	432	405	405	810	126	126	1368
Cobs	8	NC_native_effect	native_effect	centroid_accuracy	higher	55	30	54	1620	0.01444070332958261	-1.009293658750142e-18	1.009293658750142e-18	5.607186993056324e-20	0	0	1620	0	0	1620	0	0	1620	0	0	1620
Cobs	8	native_effect_ridge	native_effect	standardized_MSE	lower	55	30	54	1620	0.003267517510626525	-0.005833263698650834	0.005833263698650834	0.001306635753828635	810	810	0	9	9	1602	0	0	1620	0	0	1620
Cobs	8	native_effect_ridge	native_effect	raw_RMSE	lower	55	30	54	1620	0.003733115702521245	-0.007208950764493269	0.007208950764493269	0.001590454978927473	810	810	0	36	36	1548	0	0	1620	0	0	1620
Cobs	8	native_effect_ridge	native_effect	perturbation_centred_Pearson	higher	55	30	54	1620	0.02127980884059942	-0.0236933301948062	0.0236933301948062	0.006771071903059266	810	810	0	459	459	702	243	243	1134	18	18	1584
Cobs	8	native_effect_ridge	native_effect	centroid_accuracy	higher	55	30	54	1620	0.01106621773288169	-0.01178451178451179	0.01178451178451179	0.002933034044145171	765	765	90	153	153	1314	18	18	1584	0	0	1620
Cobs	16	selected_CPA	state	standardized_MSE	lower	55	30	54	1620	0.01276207422699055	-0.03759009874243205	0.03759009874243205	0.01231106344998518	810	810	0	623	623	374	463	463	694	140	140	1340
Cobs	16	selected_CPA	state	raw_RMSE	lower	55	30	54	1620	0.01036552019602991	-0.02753261162498721	0.02753261162498721	0.009947773615817843	810	810	0	594	594	432	383	383	854	68	68	1484
Cobs	16	selected_CPA	state	perturbation_centred_Pearson	higher	55	30	54	1620	0.07761316586745194	-0.1216319342425556	0.1216319342425556	0.03109268400895305	810	810	0	744	744	132	663	663	294	510	510	600
Cobs	16	selected_CPA	state	centroid_accuracy	higher	55	30	54	1620	0.01734796524918885	-0.01717171717171718	0.01717171717171718	0.005051336409361112	793	793	34	362	362	896	118	118	1384	0	0	1620
