role_a	role_b	depth	model	model_kind	metric	metric_direction	task_count	allocation_count	directed_contrasts_per_allocation	total_task_mean_contrasts	mean_abs_task_score_change	minimum_task_mean_change	maximum_task_mean_change	mean_abs_task_mean_change	gap_0_positive_count	gap_0_negative_count	gap_0_within_count	gap_0p005_positive_count	gap_0p005_negative_count	gap_0p005_within_count	gap_0p01_positive_count	gap_0p01_negative_count	gap_0p01_within_count	gap_0p02_positive_count	gap_0p02_negative_count	gap_0p02_within_count
Cobs	Cpred	8	selected_CPA	state	standardized_MSE	lower	55	30	108	3240	0.04102812877538304	-0.07413858642109744	0.07413858642109744	0.04102812877539351	1620	1620	0	1620	1620	0	1620	1620	0	1620	1620	0
Cobs	Cpred	8	selected_CPA	state	raw_RMSE	lower	55	30	108	3240	0.03179028592622968	-0.05934061540537296	0.05934061540537295	0.03179028592622943	1620	1620	0	1620	1620	0	1620	1620	0	1582	1582	76
Cobs	Cpred	8	selected_CPA	state	perturbation_centred_Pearson	higher	55	30	108	3240	0.1609067588883463	-0.2072167823670746	0.2072167823670747	0.06477295837811922	1620	1620	0	1612	1612	16	1600	1600	40	1510	1510	220
Cobs	Cpred	8	selected_CPA	state	centroid_accuracy	higher	55	30	108	3240	0.01983040279338283	-0.01447811447811447	0.01447811447811447	0.002717712100428159	1550	1550	140	254	254	2732	16	16	3208	0	0	3240
Cobs	Cpred	8	original_CPA_fixed	state	standardized_MSE	lower	55	30	108	3240	0.04102812877538304	-0.07413858642109743	0.07413858642109744	0.04102812877539351	1620	1620	0	1620	1620	0	1620	1620	0	1620	1620	0
Cobs	Cpred	8	original_CPA_fixed	state	raw_RMSE	lower	55	30	108	3240	0.02975263261799303	-0.05160443082886243	0.05160443082886243	0.02975263261799461	1620	1620	0	1620	1620	0	1620	1620	0	1548	1548	144
Cobs	Cpred	8	original_CPA_fixed	state	perturbation_centred_Pearson	higher	55	30	108	3240	0.2032183443812952	-0.1055156946751473	0.1055156946751473	0.06001817009903476	1620	1620	0	1620	1620	0	1620	1620	0	1620	1620	0
Cobs	Cpred	8	original_CPA_fixed	state	centroid_accuracy	higher	55	30	108	3240	0.01564534231200982	-0.01043771043771043	0.01043771043771043	0.001995261254520526	1530	1530	180	132	132	2976	12	12	3216	0	0	3240
Cobs	Cpred	8	additive	state	standardized_MSE	lower	55	30	108	3240	0.04102812877538304	-0.07413858642109743	0.07413858642109743	0.04102812877539351	1620	1620	0	1620	1620	0	1620	1620	0	1620	1620	0
Cobs	Cpred	8	additive	state	raw_RMSE	lower	55	30	108	3240	0.04658105288307417	-0.08101030932410322	0.08101030932410322	0.04658105288307535	1620	1620	0	1620	1620	0	1620	1620	0	1620	1620	0
