cell_id	role
control_001	control
control_002	control
control_003	control
control_004	control
control_005	control
control_006	control
control_007	control
control_008	control
control_009	control
control_010	control
control_011	control
control_012	control
control_013	control
control_014	control
control_015	control
control_016	control
control_017	control
control_018	control
control_019	control
control_020	control
control_021	control
control_022	control
control_023	control
control_024	control
treated_001	treated
treated_002	treated
treated_003	treated
treated_004	treated
treated_005	treated
treated_006	treated
treated_007	treated
treated_008	treated
