source_index	feature_id
0	TSPAN6
1	TNMD
2	DPM1
3	SCYL3
4	C1orf112
5	FGR
6	CFH
7	FUCA2
8	GCLC
9	NFYA
10	STPG1
11	NIPAL3
12	LAS1L
13	ENPP4
14	SEMA3F
15	CFTR
16	ANKIB1
17	CYP51A1
18	KRIT1
19	RAD52
20	MYH16
21	BAD
22	LAP3
23	CD99
24	HS3ST1
25	AOC1
26	WNT16
27	HECW1
28	MAD1L1
29	LASP1
30	SNX11
31	TMEM176A
32	M6PR
33	KLHL13
34	CYP26B1
35	ICA1
36	DBNDD1
37	ALS2
38	CASP10
39	CFLAR
40	TFPI
41	NDUFAF7
42	RBM5
43	MTMR7
44	SLC7A2
45	ARF5
46	SARM1
47	POLDIP2
48	PLXND1
49	AK2
50	CD38
51	FKBP4
52	KDM1A
53	RBM6
54	CAMKK1
55	RECQL
56	VPS50
57	HSPB6
58	ARHGAP33
59	NDUFAB1
60	PDK4
61	SLC22A16
62	ZMYND10
63	ABCB5
64	ARX
65	SLC25A13
66	ST7
67	CDC27
68	SLC4A1
69	CALCR
70	HCCS
71	DVL2
72	PRSS22
73	UPF1
74	SKAP2
75	SLC25A5
76	MCUB
77	POLR2J
78	DHX33
79	MEOX1
80	THSD7A
81	LIG3
82	RPAP3
83	ACSM3
84	REXO5
85	CIAPIN1
86	SPPL2B
87	ATOSB
88	COPZ2
89	PRKAR2B
90	MSL3
91	CREBBP
92	TSPOAP1
93	MPO
94	PON1
95	GCFC2
96	WDR54
97	CROT
98	ABCB4
99	KMT2E
100	RHBDD2
101	SOX8
102	IBTK
103	ZNF195
104	MYCBP2
105	FBXL3
106	ITGAL
107	PDK2
108	ITGA3
109	ZFX
110	LAMP2
111	ITGA2B
112	ASB4
113	GDE1
114	REX1BD
115	CRLF1
116	OSBPL7
117	TMEM98
118	YBX2
119	MAP3K14
120	ABCC8
121	CACNG3
122	TMEM132A
123	AP2B1
124	TAC1
125	ZNF263
126	CX3CL1
127	SPATA20
128	CACNA1G
129	TNFRSF12A
130	MAP3K9
131	RALA
132	BAIAP2L1
133	KDM7A
134	ETV1
135	AGK
136	ALDH3B1
137	TTC22
138	PHTF2
139	CCL26
140	FARP2
141	USH1C
142	GGCT
143	DBF4
144	TBXA2R
145	IFRD1
146	LGALS14
147	COX10
148	GTF2IRD1
149	PAF1
150	VPS41
151	ARHGAP44
152	ELAC2
153	SCIN
154	ARSD
155	PNPLA4
156	MYH13
157	ADIPOR2
158	CDKL3
159	UPP2
160	PRSS21
161	MARK4
162	PROM1
163	CCDC124
164	CEACAM21
165	PAFAH1B1
166	NOS2
167	DNAH9
168	BLTP2
169	SLC13A2
170	GAS7
171	TRAPPC6A
172	MATK
173	CEACAM7
174	CD79B
175	SCN4A
176	ST7L
177	TKTL1
178	PAX6
179	RPUSD1
180	RHBDF1
181	LUC7L
182	CACNA2D2
183	BAIAP3
184	TSR3
185	PIGQ
186	CRAMP1
187	TEAD3
188	SELE
189	DNAJC11
190	FMO3
191	MYLIP
192	NOX1
193	E2F2
194	PSMB1
195	SYN1
196	JARID2
197	CDKL5
198	CAMK1G
199	CDK11A
200	NADK
201	TFAP2B
202	TFAP2D
203	DLEC1
204	CYTH3
205	ADAM22
206	SYPL1
207	CYB561
208	SPAG9
209	CELSR3
210	AASS
211	PLEKHG6
212	SS18L2
213	MPND
214	MGST1
215	CRY1
216	PGLYRP1
217	NFIX
218	ST3GAL1
219	MMP25
220	IL32
221	PKD1
222	MAPK8IP2
223	MED24
224	RHOBTB2
225	HEATR5B
226	SEC62
227	RPS20
228	CSDE1
229	UBE3C
230	REV3L
231	TENM1
232	PAX7
233	MASP2
234	IYD
235	FAM76A
236	TRAF3IP3
237	POMT2
238	VTA1
239	MLXIPL
240	BAZ1B
241	RANBP9
242	ETV7
243	SPRTN
244	METTL13
245	DYRK4
246	ZNF207
247	UQCRC1
248	STARD3NL
249	CD9
250	HHATL
251	NCAPD2
252	IFFO1
253	GIPR
254	PHF7
255	SEMA3G
256	NISCH
257	STAB1
258	FUZ
259	SLC6A13
260	IDS
261	PRSS3
262	ZNF200
263	CD4
264	LRRC23
265	BTK
266	HFE
267	SCMH1
268	FYN
269	HIVEP2
270	FMO1
271	ELOA
272	LYPLA2
273	CLCN6
274	MRC2
275	NME1-NME2
276	SLC6A7
277	TSPAN9
278	BTBD7
279	APBA3
280	MKS1
281	ABHD5
282	ANOS1
283	AKAP8L
284	MBTD1
285	UTP18
286	RNF216
287	TTC19
288	PTBP1
289	DPF1
290	SYT7
291	LARS2
292	PIK3C2A
293	PLAUR
294	ANLN
295	WIZ
296	RABGAP1
297	DCN
298	QPCTL
299	PPP5C
300	CEP68
301	MAP4K3
302	ZBTB32
303	TYROBP
304	LDAF1
305	GABRA3
306	BRCA1
307	ERCC1
308	CD22
309	SEMA3B
310	MBTPS2
311	PRICKLE3
312	LTF
313	EXTL3
314	NR1H4
315	ELOVL5
316	ALOX5
317	KDM5D
318	CALCOCO1
319	UBR7
320	MAP4K5
321	EHD3
322	PSMC4
323	MAN2B2
324	SLC7A14
325	CLDN11
326	SLC25A39
327	MVP
328	NUB1
329	PGM3
330	RWDD2A
331	CLK1
332	POLR3B
333	ANGEL1
334	RNF14
335	DNASE1L1
336	DDX11
337	HEBP1
338	GPRC5A
339	MAMLD1
340	CD6
341	TACC3
342	UFL1
343	POLA2
344	ZC3H3
345	CAPN1
346	ACP3
347	MDH1
348	SLC30A9
349	MTMR11
350	COX15
351	CCDC88C
352	YAF2
353	ZMYND11
354	WAS
355	DPEP1
356	BID
357	MATR3
358	NPC1L1
359	XYLT2
360	RGPD5
361	STMN4
362	NUDCD3
363	ISL1
364	CHDH
365	IL20RA
366	CLCA1
367	CLCA4
368	GLT8D1
369	ATP2C1
370	IGF1
371	SLC38A5
372	RALBP1
373	RUFY3
374	CNTN1
375	SLC11A1
376	WWTR1
377	AGPS
378	ZNF285CP
379	STEEP1
380	ATP1A2
381	TTC27
382	ZNF582
383	VSIG2
384	PHLDB1
385	MARCO
386	CYP24A1
387	PRDM11
388	SYT13
389	CD74
390	HGF
391	ZRANB1
392	NCDN
393	ADGRA2
394	CCT8L1P
395	ZFP64
396	MNAT1
397	SAMD4A
398	RUNX3
399	MRE11
400	PLEKHB1
401	SERPINB1
402	CYP3A43
403	SLC7A9
404	SPAST
405	NRXN3
406	OSBPL5
407	AQR
408	CPS1
409	C8B
410	FHL1
411	RTF2
412	GABRA1
413	NLRP2
414	SLC45A4
415	RNF10
416	ZNF839
417	ZDHHC6
418	GRAMD1B
419	RNH1
420	NDUFS1
421	RB1CC1
422	ERP44
423	ALAS1
424	BIRC3
425	AKAP11
426	GLRX2
427	SNAPC1
428	DERA
429	STRAP
430	ABCC2
431	DEF6
432	PLEKHO1
433	GCLM
434	UBR2
435	EHD2
436	DEPDC1
437	CCDC28A
438	RRAGD
439	HSF2
440	PHF20
441	HSD17B6
442	NR1H3
443	TYMP
444	NCAPH2
445	TOMM34
446	SEC63
447	KPNA6
448	VIM
449	RTEL1-TNFRSF6B
450	FAS
451	RNASET2
452	CD44
453	KCNG1
454	AGPAT4
455	SLAMF7
456	BTN3A1
457	MIPEP
458	PRKCH
459	INSRR
460	IFNGR1
461	B4GALT7
462	SH2D2A
463	VRK2
464	TNFRSF1B
465	VEZT
466	POU2F2
467	BRD9
468	SNX1
469	TBPL1
470	BMAL2
471	BCLAF1
472	SLC39A9
473	ANK1
474	IBSP
475	TFB1M
476	RABEP1
477	HMGB3
478	NUP160
479	BAK1
480	MUSK
481	IKZF2
482	GRN
483	FAM13B
484	ARHGAP31
485	CENPQ
486	SARS1
487	RANBP3
488	ARID4A
489	EIPR1
490	PNPLA6
491	IFT88
492	ALG1
493	ZCCHC8
494	ABCF2
495	CHPF2
496	LRRC7
497	FUT8
498	UBA6
499	GAB2
500	ATP6V0A1
501	PIAS1
502	SLC4A7
503	APBA2
504	MAP2K3
505	CLXN
506	TMSB10
507	ASTE1
508	RNF19A
509	PEX3
510	GABARAPL2
511	MYOC
512	SH3YL1
513	FAM136A
514	VCL
515	DEPDC1B
516	DAPK2
517	NSMAF
518	ADSS2
519	STAP1
520	TIMP2
521	RFC1
522	TBC1D23
523	CUL3
524	MYOM2
525	OTC
526	CYP46A1
527	ZZZ3
528	SLC18A1
529	USP2
530	CASR
531	TUBG2
532	RPL26L1
533	FLT4
534	NSUN2
535	FBXO42
536	MFAP3
537	MRI1
538	METTL1
539	HOXC8
540	AGA
541	PI4K2B
542	BOD1L1
543	MAT2B
544	TLL1
545	EDC4
546	TRIO
547	VCAN
548	CLEC16A
549	MSR1
550	CDH1
551	MTREX
552	DNAH5
553	ZFYVE16
554	RIPOR1
555	C6
556	RAI14
557	SOX30
558	PNKP
559	BEST2
560	PHLPP2
561	SPDL1
562	STAU2
563	SLC66A1
564	CTNS
565	RTN4R
566	PHF23
567	CDH10
568	INPP4A
569	RAB27B
570	PSMA4
571	MYO16
572	LSG1
573	PARP3
574	TNC
575	THAP3
576	RIPOR3
577	TDP1
578	AIFM2
579	C2orf83
580	SPATA7
581	MED17
582	RETSAT
583	CAPG
584	AP2S1
585	USH2A
586	ZPBP
587	TG
588	ADAM28
589	BARX2
590	DCUN1D1
591	JADE2
592	LCP2
593	TRIT1
594	ADRB1
595	CUL7
596	CTNNA1
597	PHKA2
598	CNTLN
599	EPHA3
600	HSPA5
601	DSG2
602	GEMIN8
603	OFD1
604	GPM6B
605	PREX2
606	WDR37
607	YTHDC2
608	CTPS2
609	ATP6V1H
610	POLR2B
611	ATOSA
612	ARAP2
613	TPR
614	CP
615	KATNIP
616	DTNBP1
617	XK
618	ANO2
619	C12orf4
620	SCML1
621	WWC3
622	ARHGAP6
623	FAM184B
624	MAP4
625	GOPC
626	ROS1
627	USP28
628	HDAC9
629	TSPAN17
630	NOP16
631	CC2D2A
632	RRM2B
633	ZNF800
634	TNFRSF17
635	SNX29
636	LMO3
637	MRPS10
638	GUCA1A
639	RSF1
640	VPS13D
641	CELF2
642	FAM120A
643	R3HDM1
644	COL9A2
645	KITLG
646	ERCC8
647	ADAMTS6
648	H6PD
649	VAMP3
650	PER3
651	UTS2
652	TNFRSF9
653	EPN3
654	LTBP1
655	RCN1
656	ELN
657	RFC2
658	ARID1B
659	CLPTM1L
660	NEDD4L
661	FOXP3
662	PPP1R3F
663	HEXB
664	PTCD2
665	NEXMIF
666	JKAMP
667	DKK3
668	ARHGEF5
669	NFE2L3
670	MCUR1
671	LIMA1
672	LETMD1
673	SLC4A8
674	LAMC3
675	PTGER3
676	TNIP3
677	MAPK9
678	COL23A1
679	BCAR1
680	FHIP1B
681	HERPUD1
682	HOMER3
683	RAD51
684	POLQ
685	PIK3CB
686	CYBA
687	THOC3
688	HEBP2
689	MPHOSPH9
690	PLEKHA5
691	PRSS8
692	SIKE1
693	RRP12
694	FNIP2
695	MSMO1
696	TTC17
697	ALX4
698	FSTL4
699	FOXN3
700	METTL24
701	AKR7A2
702	MRTO4
703	NNAT
704	USE1
705	MCF2L2
706	NRIP2
707	LAMA3
708	AP5M1
709	ANAPC4
710	KCNQ1
711	TRAPPC3
712	THRAP3
713	PHPT1
714	ENTPD2
715	LY75
716	ARID4B
717	OPN3
718	SDCCAG8
719	PTPRN
720	HHAT
721	KIF1B
722	FOXC1
723	TBC1D22A
724	SYNE2
725	PLEKHH1
726	ATP9A
727	SPO11
728	CHRDL2
729	FAM168A
730	RELT
731	GALC
732	NOP58
733	SZRD1
734	KCNH2
735	CUL1
736	FAM114A2
737	CYFIP2
738	TAB2
739	GINM1
740	EIF2AK2
741	USP36
742	KMT2C
743	MCOLN3
744	CCDC85A
745	PUM2
746	MRPL43
747	ITIH4
748	ITIH1
749	HPF1
750	ZFR
751	ZNF280C
752	NPFFR2
753	PHF21B
754	TRAF1
755	RC3H2
756	IL17RB
757	TRAF3IP2
758	GYG2
759	DCBLD2
760	SERPINB3
761	SOAT1
762	PKP2
763	MSH4
764	F7
765	GDI2
766	PRDM1
767	ATG5
768	TMCC3
769	PITHD1
770	MTA3
771	USP13
772	ATP11B
773	LAMC2
774	CDK14
775	SEC61A1
776	PPP1R12A
777	RASGRF1
778	CAMK2B
779	CROCC
780	POLR3E
781	ATP2B4
782	ZC3H11A
783	RIOK2
784	YIPF1
785	NDC1
786	DGKG
787	FLYWCH1
788	UNKL
789	TBXAS1
790	PARP12
791	ALDH18A1
792	TARBP1
793	GATB
794	MXD1
795	CDK17
796	DNAJC25
797	SLC2A3
798	PSD
799	CTDP1
800	YBX3
801	STYK1
802	WNK1
803	RPS17P5
804	CCAR1
805	OGFR
806	GNA15
807	CREB3L3
808	PIGV
809	PTPRU
810	SNRNP40
811	RIMBP2
812	COL11A1
813	QSER1
814	MPC1
815	ACAA1
816	BCAT1
817	HDAC7
818	LZTS1
819	PRDM6
820	WNT8A
821	SPAG4
822	NCKAP1
823	MRPS35
824	GUCY1B1
825	SFSWAP
826	TNK2
827	MON2
828	CDH3
829	ARSF
830	GPBP1
831	DGAT2
832	ZNF112
833	CS
834	LTK
835	MRPS24
836	ELMO2
837	WAPL
838	VMP1
839	APPBP2
840	POLD1
841	SEZ6
842	EIF4B
843	SLC6A16
844	BICRA
845	SPHK2
846	RPL18
847	CA11
848	ISOC2
849	U2AF2
850	EPN1
851	MED29
852	AHRR
853	ZNF275
854	MTMR1
855	GPC1
856	ADCK1
857	HAGH
858	RNF4
859	CASP8
860	LIMCH1
861	INTS13
862	TM7SF3
863	DLX3
864	SPA17
865	TSPAN32
866	CCN5
867	DMRT3
868	ST3GAL6
869	ATP2C2
870	NGFR
871	CDON
872	TAF2
873	HIPK2
874	TNPO3
875	RFXANK
876	TMEM161A
877	LPAR2
878	CTSA
879	SUGP2
880	SLC12A2
881	SNX24
882	EYA2
883	CNN2
884	ABCA7
885	SNCAIP
886	DDX20
887	BTBD1
888	FAR2
889	BCAS1
890	POU1F1
891	CHI3L2
892	SBNO2
893	PMS1
894	HMG20B
895	CALCRL
896	TAF11
897	ANKS1A
898	AP3D1
899	ZNF76
900	SLC9A3R2
901	NTHL1
902	BLTP3A
903	GNAI3
904	IPO5
905	OAT
906	WDR3
907	PKN2
908	WDR18
909	TRAM2
910	NTN1
911	GLP2R
912	MCM10
913	DGKA
914	ERBB3
915	ROPN1
916	ANKRD44
917	KARS1
918	ADAT1
919	PDIA5
920	TBC1D22B
921	NDUFB4
922	SPEN
923	MYLK
924	ZC3H15
925	MAP2K4
926	PACC1
927	SNAP91
928	SLK
929	CYB5R4
930	COL17A1
931	GSTO2
932	SEC61A2
933	PRKCQ
934	TLE2
935	ASB1
936	FAM107B
937	ME1
938	TBC1D1
939	CDK13
940	MTHFD2
941	SLC9A7
942	FOXJ2
943	YBX1
944	PDE4A
945	PPP2R5A
946	CTNNA2
947	ELAVL1
948	TIE1
949	DIP2B
950	SMARCD1
951	KDM4A
952	NFYC
953	ZMYND12
954	SLC9A3
955	NGEF
956	ASPM
957	CD84
958	ELOVL1
959	SPI1
960	POLR1H
961	MPPED2
962	CLDN18
963	ZBTB11
964	ATXN3
965	GOLGA5
966	FGFR2
967	LRRC40
968	ISOC1
969	EML1
970	TRMT11
971	THUMPD1
972	MSANTD3
973	KIF26A
974	ATG2B
975	ARFGEF1
976	ACSM2B
977	ZFAT
978	MTFR1
979	STAG3
980	FECH
981	MYO9A
982	DDX3Y
983	PFKP
984	IDI1
985	SP100
986	KLF6
987	PLPP1
988	NEO1
989	TRAM1
990	PHKA1
991	TNFRSF1A
992	CACNB1
993	EVI5
994	STOML1
995	PKM
996	DHX29
997	DNTTIP2
998	METTL22
999	TP53BP1
1000	TRO
1001	RRP15
1002	RHOA
1003	DHX8
1004	PMS2P4
1005	PRKCZ
