cell_id	array_index	layer	family_id	scheme_count	model_count	directional_hypothesis_count	root_count	law_id	outer_attempted_replicates	tasks_per_root	nominal_cells_per_task	bootstrap_resamples	seed_namespace	seed_sha256_hex	seed_uint256_decimal
CMP001	0	COMPARATOR	F02	1	4	12	8	C01	2500	8	20	499	GENERAL_DIRECTIONAL_FAMILY_V3_SOURCE_FREE_VALIDATION_V1	43f78f132acece31cf7673671302740af3fe057b5e9d15b87450d771442dad6d	30742359546553877753587069385828395703622155132376612349981218836347653827949
CMP002	1	COMPARATOR	F02	1	4	12	8	C02	2500	8	20	499	GENERAL_DIRECTIONAL_FAMILY_V3_SOURCE_FREE_VALIDATION_V1	8d237d82c06e5d2d6825ef39ff89317e30e1f27ad6d2e591dd51978610b4089a	63838817540859580868181437822412632949180226189592896718992393094467062859930
CMP003	2	COMPARATOR	F02	1	4	12	8	C03	2500	8	20	499	GENERAL_DIRECTIONAL_FAMILY_V3_SOURCE_FREE_VALIDATION_V1	d91b344050cd1c675ff55c8c331876857088c9f0fc1f23ca9a2e8cdd9e9472cb	98199953638073803546074884188108346104534109851194067741356965582992940757707
CMP004	3	COMPARATOR	F02	1	4	12	8	C04	2500	8	20	499	GENERAL_DIRECTIONAL_FAMILY_V3_SOURCE_FREE_VALIDATION_V1	5c612a95b4874ead5fa51d1c0252128e692668e465fdbd38f4f5c5c4a2a73145	41784460144334504328040948966390763383978894046029763733417443955075134730565
CMP005	4	COMPARATOR	F02	1	4	12	12	C01	2500	8	20	499	GENERAL_DIRECTIONAL_FAMILY_V3_SOURCE_FREE_VALIDATION_V1	368aa5d66e38147e1d347450ab430be326c158565cadf48c09be319d8c00c85a	24669863287619031300639435818839644686997978670066473883647020743080678574170
CMP006	5	COMPARATOR	F02	1	4	12	12	C02	2500	8	20	499	GENERAL_DIRECTIONAL_FAMILY_V3_SOURCE_FREE_VALIDATION_V1	4d1e78a037d23ffea3beb4fd4c0f027433ac1bb3479ac19f23e2f00985b91f5c	34881927281886612912915970738611086117292938677477017147482609795772888719196
CMP007	6	COMPARATOR	F02	1	4	12	12	C03	2500	8	20	499	GENERAL_DIRECTIONAL_FAMILY_V3_SOURCE_FREE_VALIDATION_V1	52084963e9dca0ea2c679fb033c3af4256337ea00bb5071f2c78de6742fc4de8	37104294881492631969763250323970904321994230957958895072524437709010776116712
CMP008	7	COMPARATOR	F02	1	4	12	12	C04	2500	8	20	499	GENERAL_DIRECTIONAL_FAMILY_V3_SOURCE_FREE_VALIDATION_V1	912ef1605741d9941f3b1ca0cfe8cfc5f3eb5a6d4f82a79977014450d24904f5	65668303927767147025180412432477374149246762719604117523263877845300443415797
CMP009	8	COMPARATOR	F02	1	4	12	20	C01	2500	8	20	499	GENERAL_DIRECTIONAL_FAMILY_V3_SOURCE_FREE_VALIDATION_V1	7541b58bcbee3665b7715bd6ba63a93a68d808371adc592da0640f819354f7b1	53036701328450508390103688702421847392307072437747989216527080225973034350513
CMP010	9	COMPARATOR	F02	1	4	12	20	C02	2500	8	20	499	GENERAL_DIRECTIONAL_FAMILY_V3_SOURCE_FREE_VALIDATION_V1	de0bdcf7fad5ec41d68d46bdf84ac7bc17a17ca005a509b02a28ad9257353e62	100434412772916896842212149898465013104461483305046159619263524523409902222946
CMP011	10	COMPARATOR	F02	1	4	12	20	C03	2500	8	20	499	GENERAL_DIRECTIONAL_FAMILY_V3_SOURCE_FREE_VALIDATION_V1	819455e359e0ef77dd806e23e5af29aea9a859297451a1eb563e734f641a0ea6	58610443610641262646364777007649699277914339510493264505880999273041810296486
CMP012	11	COMPARATOR	F02	1	4	12	20	C04	2500	8	20	499	GENERAL_DIRECTIONAL_FAMILY_V3_SOURCE_FREE_VALIDATION_V1	556c79e195425ff1e14b35fb9196e1d93688f1615cb85c38c750d32a1ad003c9	38638252805588506747670514419022759358403544770217042971004082858330873136073
CMP013	12	COMPARATOR	F02	1	4	12	40	C01	2500	8	20	499	GENERAL_DIRECTIONAL_FAMILY_V3_SOURCE_FREE_VALIDATION_V1	d9647ed05ba80b382fa7af44a53f64e25dad515fc7a7d1ebd010ec58efe2bfaa	98329448086407794850590842899688686321177057646610453750763466417971885424554
CMP014	13	COMPARATOR	F02	1	4	12	40	C02	2500	8	20	499	GENERAL_DIRECTIONAL_FAMILY_V3_SOURCE_FREE_VALIDATION_V1	0091eca796bccb6c6ac585ab7acab3fcc487619406d3a5cbd5714ddbfc94c83a	257826154716311068445936435320189201974282609245291044319260479724205688890
CMP015	14	COMPARATOR	F02	1	4	12	40	C03	2500	8	20	499	GENERAL_DIRECTIONAL_FAMILY_V3_SOURCE_FREE_VALIDATION_V1	1ce0ecf585b7ccaeeeea2b7b119c1f1a46a0004feaf3e231a540d5186ea4e011	13062168934248738528090773254821926352776935024887731430380832464998616064017
CMP016	15	COMPARATOR	F02	1	4	12	40	C04	2500	8	20	499	GENERAL_DIRECTIONAL_FAMILY_V3_SOURCE_FREE_VALIDATION_V1	c9c4af9eab327922e55b46302bbf18ffb1c6a994c68011096279f5964d23b6e9	91262396673244534490938785480511375109348694232935682468835880797565379393257
