cell_order	cell_id	standardized_effect_delta	is_global_null	root_count_R	axis_variant	tie_probability	complete_root_mcar_missing_probability	root_support_pattern_id	root_support_cycle	replicates	seed_sha256	cell_seed_first16_hex	cell_seed_uint128_decimal
1	SIMV1__DM100__R08__AXBASE	-1.0	false	8	BASE	0.0	0.0	BALANCED_8	8	5000	295da0157c6b8d6fbcb7a3c4c76440a41f370cb6c3d14be22dc79be11b36c9d3	295da0157c6b8d6fbcb7a3c4c76440a4	54984478322859451020735094965464744100
2	SIMV1__DM100__R08__AXTIE010	-1.0	false	8	TIE010	0.1	0.0	BALANCED_8	8	5000	1d32036ce17dfad4c566391c747a246afbb7751b7d888d31456ed3af4db7b707	1d32036ce17dfad4c566391c747a246a	38807296194346091645005710924206187626
3	SIMV1__DM100__R08__AXTIE030	-1.0	false	8	TIE030	0.3	0.0	BALANCED_8	8	5000	f92c682e5ee770dd091fd795072e967e361486de357c2262f8bbc8f27b905618	f92c682e5ee770dd091fd795072e967e	331208345056685225968558338260698306174
4	SIMV1__DM100__R08__AXTIE050	-1.0	false	8	TIE050	0.5	0.0	BALANCED_8	8	5000	ce6d22b6e431bb9afcefad75a811853c59684b88f366c9f02ed77620c3d4e558	ce6d22b6e431bb9afcefad75a811853c	274387631581347773328582588160749438268
5	SIMV1__DM100__R08__AXMISS010	-1.0	false	8	MISS010	0.0	0.1	BALANCED_8	8	5000	1c358f3c3022537194e49090afc9a0ebb924cc0a580a02f7bfeb7eee75fd4c05	1c358f3c3022537194e49090afc9a0eb	37496480768639841351270072426733084907
6	SIMV1__DM100__R08__AXMISS025	-1.0	false	8	MISS025	0.0	0.25	BALANCED_8	8	5000	cccc8f841c1c241b794f724717c8696391619e00f4063d427ffa2549865e6d2f	cccc8f841c1c241b794f724717c86963	272224650550654317690303724243074443619
7	SIMV1__DM100__R08__AXMISS050	-1.0	false	8	MISS050	0.0	0.5	BALANCED_8	8	5000	0fc892c13f1ac1f2c3c9f56fc61eab02382205193d1391e56e5eb9b85c96b4ff	0fc892c13f1ac1f2c3c9f56fc61eab02	20979855850848105601168313558289525506
8	SIMV1__DM100__R08__AXSUPPORT_MILD	-1.0	false	8	SUPPORT_MILD	0.0	0.0	MILD_6_10	6,10	5000	f01ff4a5484499b3e68c81696c3cad3db25bfce689da6eb78dcd5d84e5bc1e8e	f01ff4a5484499b3e68c81696c3cad3d	319180642193950348518119789314596187453
9	SIMV1__DM100__R08__AXSUPPORT_MODERATE	-1.0	false	8	SUPPORT_MODERATE	0.0	0.0	MODERATE_4_12	4,12	5000	248e67c725bdca49037cdeed27a1d54e0f0fc34dc54a3e3fee8fd9d74b68f1df	248e67c725bdca49037cdeed27a1d54e	48591618868442821016635342626316473678
10	SIMV1__DM100__R08__AXSUPPORT_SEVERE	-1.0	false	8	SUPPORT_SEVERE	0.0	0.0	SEVERE_1_15	1,15	5000	c168c8d1cbf00d0a518bdd66cb3758e0926534728d9ca3b34dd718611aa4a79f	c168c8d1cbf00d0a518bdd66cb3758e0	257085075163498742130681592321232296160
11	SIMV1__DM100__R12__AXBASE	-1.0	false	12	BASE	0.0	0.0	BALANCED_8	8	5000	074d8eb2a4813a499e29f9b8b35f58867d73f575d8f3ed99b01ce0cac28bcd5a	074d8eb2a4813a499e29f9b8b35f5886	9707297084290007210671906958155405446
12	SIMV1__DM100__R12__AXTIE010	-1.0	false	12	TIE010	0.1	0.0	BALANCED_8	8	5000	2c9661412b02d0de91ed232f09076056595aa97bdcdc9936db1c9aadc99d46d3	2c9661412b02d0de91ed232f09076056	59266848900189899823137939418591486038
13	SIMV1__DM100__R12__AXTIE030	-1.0	false	12	TIE030	0.3	0.0	BALANCED_8	8	5000	9b9c16a42e309395f3344632e0e41955a3340bec91630500761229e5d971a01f	9b9c16a42e309395f3344632e0e41955	206840796877318361931327477368184117589
14	SIMV1__DM100__R12__AXTIE050	-1.0	false	12	TIE050	0.5	0.0	BALANCED_8	8	5000	3f6b7101aaa40422aefa6c759a312747be94b5c30d8a8cf32c20f3ca526d25e2	3f6b7101aaa40422aefa6c759a312747	84299231542637036735524051749528741703
15	SIMV1__DM100__R12__AXMISS010	-1.0	false	12	MISS010	0.0	0.1	BALANCED_8	8	5000	4020eff33f0817ff4408d9a48673f9893c0baee7fb8ecb49aa2560b9ac3c240b	4020eff33f0817ff4408d9a48673f989	85241611997553834413974895020595214729
16	SIMV1__DM100__R12__AXMISS025	-1.0	false	12	MISS025	0.0	0.25	BALANCED_8	8	5000	aea2df5d699c22d3191a8914f8e0b0a2a9d5ec4a862a5c057cad6339a9d90a45	aea2df5d699c22d3191a8914f8e0b0a2	232131353735903415023805745742257107106
17	SIMV1__DM100__R12__AXMISS050	-1.0	false	12	MISS050	0.0	0.5	BALANCED_8	8	5000	1645115f92111115fb705a4aa679693d2014e22894b24c677fd142d2f4bc475b	1645115f92111115fb705a4aa679693d	29601636763351197102341381702066727229
18	SIMV1__DM100__R12__AXSUPPORT_MILD	-1.0	false	12	SUPPORT_MILD	0.0	0.0	MILD_6_10	6,10	5000	f5d84223eca5827c9fbc03d47780ffdeedea0018cd23ca58d6133271fab1d802	f5d84223eca5827c9fbc03d47780ffde	326783736574005991923318080453881167838
19	SIMV1__DM100__R12__AXSUPPORT_MODERATE	-1.0	false	12	SUPPORT_MODERATE	0.0	0.0	MODERATE_4_12	4,12	5000	ece6370a73ef5408bc06063bd261f9062c7482bb40f1d5c69fc3f647bce4bd66	ece6370a73ef5408bc06063bd261f906	314893151643393088584626789715114326278
20	SIMV1__DM100__R12__AXSUPPORT_SEVERE	-1.0	false	12	SUPPORT_SEVERE	0.0	0.0	SEVERE_1_15	1,15	5000	64af84d5f31771d613685fab5fbce6747e9ebd970dca187e128708fb2ec13f03	64af84d5f31771d613685fab5fbce674	133834145757634679941025668436521182836
21	SIMV1__DM100__R20__AXBASE	-1.0	false	20	BASE	0.0	0.0	BALANCED_8	8	5000	386f5dc4335fc0d5187ccc3800ec244e84d53cf82a9e6d9e87a95e9124d53d70	386f5dc4335fc0d5187ccc3800ec244e	75015014523965141229577372540731139150
22	SIMV1__DM100__R20__AXTIE010	-1.0	false	20	TIE010	0.1	0.0	BALANCED_8	8	5000	1d7e6952730cafda52005f787f43b9b1c4d364b68a2401cd4f296067c36893a0	1d7e6952730cafda52005f787f43b9b1	39203977467261771871199040809887578545
23	SIMV1__DM100__R20__AXTIE030	-1.0	false	20	TIE030	0.3	0.0	BALANCED_8	8	5000	efdbe5158efbb119935adbf515f12f32c6332129c9673be7856d30277a33bfba	efdbe5158efbb119935adbf515f12f32	318827250384455818012744621856941748018
24	SIMV1__DM100__R20__AXTIE050	-1.0	false	20	TIE050	0.5	0.0	BALANCED_8	8	5000	e9aa79690311b60146956e9a38cf3633fb804d86b22df9cf9feed7a9a7456570	e9aa79690311b60146956e9a38cf3633	310595275975305291195944177574932854323
25	SIMV1__DM100__R20__AXMISS010	-1.0	false	20	MISS010	0.0	0.1	BALANCED_8	8	5000	3594fb15eab28ec0cf7f3232b30b89927dc8644978d8831c654b1ecf65ee33c3	3594fb15eab28ec0cf7f3232b30b8992	71222636332900980348605092073856272786
26	SIMV1__DM100__R20__AXMISS025	-1.0	false	20	MISS025	0.0	0.25	BALANCED_8	8	5000	a55e33a320296105f172111f3dff772fd819527b71e26fc9094657b92759407e	a55e33a320296105f172111f3dff772f	219811742536247213338556468514539927343
